5235,state:7,Time:19:52:33,Lat:35.55448000,Lng:139.65622167,ax:   0.0,ay:0.0044444444444444444,az:0.0022222222222222222,q:   0.0,rV:     0,lV:     0,Camera:0
15283,state:7,Time:19:52:43,Lat:35.55459333,Lng:139.65620667,ax:-0.0077777777777777776,ay:-0.22111111111111112,az:  0.85,q:43.9375,rV:    85,lV:    55,Camera:0
15321,state:7,Time:19:52:43,Lat:35.55459333,Lng:139.65620667,ax:0.27666666666666667,ay: -0.52,az:-0.07777777777777778,q:44.8125,rV:    55,lV:    85,Camera:0
15357,state:7,Time:19:52:44,Lat:35.55462000,Lng:139.65621333,ax:0.6366666666666667,ay:-0.8022222222222222,az: -0.97,q:48.625,rV:    55,lV:    85,Camera:0
15393,state:7,Time:19:52:44,Lat:35.55462000,Lng:139.65621333,ax:  1.36,ay:-1.0233333333333334,az:-1.0955555555555556,q:54.125,rV:    55,lV:    85,Camera:0
15430,state:7,Time:19:52:44,Lat:35.55462000,Lng:139.65621333,ax:-1.1133333333333333,ay: -0.64,az:-0.7655555555555555,q:  57.0,rV:    55,lV:    85,Camera:0
15468,state:7,Time:19:52:44,Lat:35.55462000,Lng:139.65621333,ax:0.17777777777777778,ay: -0.78,az:-0.7588888888888888,q:60.875,rV:    55,lV:    85,Camera:0
15503,state:7,Time:19:52:44,Lat:35.55462000,Lng:139.65621333,ax:0.03333333333333333,ay:-0.6855555555555556,az:-0.5855555555555556,q:64.125,rV:    55,lV:    85,Camera:0
15541,state:7,Time:19:52:44,Lat:35.55462000,Lng:139.65621333,ax:0.8611111111111112,ay:-0.8355555555555556,az:-0.5011111111111111,q:67.3125,rV:    55,lV:    85,Camera:0
15582,state:7,Time:19:52:44,Lat:35.55462000,Lng:139.65621333,ax:0.11777777777777777,ay:-0.5844444444444444,az:0.18666666666666668,q:70.125,rV:    55,lV:    85,Camera:0
15621,state:7,Time:19:52:44,Lat:35.55462000,Lng:139.65621333,ax:0.7011111111111111,ay:-0.4711111111111111,az:1.0966666666666667,q:70.125,rV:    55,lV:    85,Camera:0
15656,state:7,Time:19:52:44,Lat:35.55462000,Lng:139.65621333,ax:0.15333333333333332,ay: -0.31,az:  1.16,q:68.8125,rV:    55,lV:    85,Camera:0
15691,state:7,Time:19:52:44,Lat:35.55462000,Lng:139.65621333,ax:0.5544444444444444,ay:-0.4222222222222222,az:0.8311111111111111,q:68.375,rV:    55,lV:    85,Camera:0
15729,state:7,Time:19:52:44,Lat:35.55462000,Lng:139.65621333,ax:0.3011111111111111,ay: -0.47,az:0.24222222222222223,q: 68.75,rV:    55,lV:    85,Camera:0
15765,state:7,Time:19:52:44,Lat:35.55462000,Lng:139.65621333,ax:0.4211111111111111,ay:-0.47444444444444445,az:0.12111111111111111,q:69.875,rV:    55,lV:    85,Camera:0
15800,state:7,Time:19:52:44,Lat:35.55462000,Lng:139.65621333,ax:0.47333333333333333,ay:-0.2722222222222222,az:0.33111111111111113,q:70.5625,rV:    55,lV:    85,Camera:0
15837,state:7,Time:19:52:44,Lat:35.55462000,Lng:139.65621333,ax:0.16666666666666666,ay:-0.2733333333333333,az:0.32555555555555554,q: 70.75,rV:    55,lV:    85,Camera:0
15872,state:7,Time:19:52:44,Lat:35.55462000,Lng:139.65621333,ax:-0.5266666666666666,ay:-0.18444444444444444,az:0.2577777777777778,q:70.625,rV:    55,lV:    85,Camera:0
15906,state:7,Time:19:52:44,Lat:35.55462000,Lng:139.65621333,ax:-0.28444444444444444,ay:-0.13111111111111112,az:0.23555555555555555,q:70.4375,rV:    55,lV:    85,Camera:0
15942,state:7,Time:19:52:44,Lat:35.55462000,Lng:139.65621333,ax:-0.5088888888888888,ay: -0.12,az:0.22777777777777777,q:70.375,rV:    55,lV:    85,Camera:0
15980,state:7,Time:19:52:44,Lat:35.55462000,Lng:139.65621333,ax:0.05444444444444444,ay:-0.042222222222222223,az:0.18444444444444444,q:70.0625,rV:    55,lV:    85,Camera:0
16016,state:7,Time:19:52:44,Lat:35.55462000,Lng:139.65621333,ax:0.04111111111111111,ay:0.03888888888888889,az:0.3511111111111111,q:69.5625,rV:    55,lV:    85,Camera:0
16051,state:7,Time:19:52:44,Lat:35.55462000,Lng:139.65621333,ax:0.45666666666666667,ay:0.07222222222222222,az:0.022222222222222223,q:69.1875,rV:    55,lV:    85,Camera:0
16089,state:7,Time:19:52:44,Lat:35.55462000,Lng:139.65621333,ax:-0.2811111111111111,ay:0.21222222222222223,az:-0.042222222222222223,q:69.0625,rV:    55,lV:    85,Camera:0
16124,state:7,Time:19:52:44,Lat:35.55462000,Lng:139.65621333,ax:-0.4577777777777778,ay:0.2633333333333333,az:-0.21222222222222223,q:68.5625,rV:    55,lV:    85,Camera:0
16159,state:7,Time:19:52:44,Lat:35.55462000,Lng:139.65621333,ax:-1.5544444444444445,ay:0.4011111111111111,az: -0.17,q:67.6875,rV:    55,lV:    85,Camera:0
16194,state:7,Time:19:52:44,Lat:35.55462000,Lng:139.65621333,ax:-0.7222222222222222,ay:0.41888888888888887,az: -0.35,q:66.6875,rV:    55,lV:    85,Camera:0
16230,state:7,Time:19:52:44,Lat:35.55462000,Lng:139.65621333,ax:-0.6233333333333333,ay:   0.5,az:-0.21555555555555556,q:  66.0,rV:    55,lV:    85,Camera:0
16267,state:7,Time:19:52:44,Lat:35.55462000,Lng:139.65621333,ax:-0.6366666666666667,ay:0.5733333333333334,az:-0.09111111111111111,q:  64.5,rV:    55,lV:    85,Camera:0
16302,state:7,Time:19:52:44,Lat:35.55462000,Lng:139.65621333,ax:-0.44555555555555554,ay:0.5422222222222223,az:0.12777777777777777,q:63.0625,rV:    55,lV:    85,Camera:0
16340,state:7,Time:19:52:45,Lat:35.55463833,Lng:139.65622167,ax:-0.3111111111111111,ay:0.5888888888888889,az:-36.17888888888889,q:60.4375,rV:    55,lV:    85,Camera:0
16377,state:7,Time:19:52:45,Lat:35.55463833,Lng:139.65622167,ax:0.24333333333333335,ay:0.49777777777777776,az:0.25333333333333335,q: 58.25,rV:    55,lV:    85,Camera:0
16412,state:7,Time:19:52:45,Lat:35.55463833,Lng:139.65622167,ax:0.2288888888888889,ay:  0.49,az:0.04888888888888889,q:56.875,rV:    55,lV:    85,Camera:0
16447,state:7,Time:19:52:45,Lat:35.55463833,Lng:139.65622167,ax:0.5922222222222222,ay:0.3022222222222222,az:-0.3488888888888889,q:56.1875,rV:    55,lV:    85,Camera:0
16482,state:7,Time:19:52:45,Lat:35.55463833,Lng:139.65622167,ax:0.9655555555555555,ay:0.31555555555555553,az:-0.4122222222222222,q:56.375,rV:    55,lV:    85,Camera:0
16523,state:7,Time:19:52:45,Lat:35.55463833,Lng:139.65622167,ax:0.9644444444444444,ay:0.24555555555555555,az:-0.4822222222222222,q:  56.5,rV:    55,lV:    85,Camera:0
16558,state:7,Time:19:52:45,Lat:35.55463833,Lng:139.65622167,ax:-0.4222222222222222,ay:0.37666666666666665,az:-0.46444444444444444,q:  56.5,rV:    55,lV:    85,Camera:0
16595,state:7,Time:19:52:45,Lat:35.55463833,Lng:139.65622167,ax:  0.22,ay:0.4255555555555556,az: -0.28,q: 55.75,rV:    55,lV:    85,Camera:0
16631,state:7,Time:19:52:45,Lat:35.55463833,Lng:139.65622167,ax:0.044444444444444446,ay:0.4811111111111111,az:-0.28444444444444444,q:55.0625,rV:    55,lV:    85,Camera:0
16668,state:7,Time:19:52:45,Lat:35.55463833,Lng:139.65622167,ax:0.11555555555555555,ay:0.34555555555555556,az:-0.5677777777777778,q:54.9375,rV:    55,lV:    85,Camera:0
16703,state:7,Time:19:52:45,Lat:35.55463833,Lng:139.65622167,ax:-0.45444444444444443,ay:0.33555555555555555,az: -0.62,q:  55.0,rV:    55,lV:    85,Camera:0
16740,state:7,Time:19:52:45,Lat:35.55463833,Lng:139.65622167,ax:-0.0811111111111111,ay:  0.29,az:-0.3377777777777778,q:54.875,rV:    55,lV:    85,Camera:0
16776,state:7,Time:19:52:45,Lat:35.55463833,Lng:139.65622167,ax:-0.5455555555555556,ay:0.3711111111111111,az:-0.07444444444444444,q:53.8125,rV:    55,lV:    85,Camera:0
16810,state:7,Time:19:52:45,Lat:35.55463833,Lng:139.65622167,ax:-0.17444444444444446,ay:0.32222222222222224,az:0.08555555555555555,q:52.875,rV:    55,lV:    85,Camera:0
16844,state:7,Time:19:52:45,Lat:35.55463833,Lng:139.65622167,ax:-0.2544444444444444,ay:0.27444444444444444,az:0.20333333333333334,q:51.625,rV:    55,lV:    85,Camera:0
16881,state:7,Time:19:52:45,Lat:35.55463833,Lng:139.65622167,ax:-0.14777777777777779,ay:0.18555555555555556,az:0.15222222222222223,q: 50.75,rV:    55,lV:    85,Camera:0
16919,state:7,Time:19:52:45,Lat:35.55463833,Lng:139.65622167,ax:0.2688888888888889,ay:0.22444444444444445,az:0.48777777777777775,q:49.6875,rV:    55,lV:    85,Camera:0
16953,state:7,Time:19:52:45,Lat:35.55463833,Lng:139.65622167,ax:0.4766666666666667,ay:0.25222222222222224,az:0.6433333333333333,q:  48.0,rV:    55,lV:    85,Camera:0
16990,state:7,Time:19:52:45,Lat:35.55463833,Lng:139.65622167,ax:-0.5677777777777778,ay:0.22777777777777777,az:0.5577777777777778,q:46.1875,rV:    55,lV:    85,Camera:0
17024,state:7,Time:19:52:45,Lat:35.55463833,Lng:139.65622167,ax: -0.78,ay:  0.22,az:  0.41,q:44.8125,rV:    55,lV:    85,Camera:0
17058,state:7,Time:19:52:45,Lat:35.55463833,Lng:139.65622167,ax: -1.15,ay:0.17888888888888888,az:0.27444444444444444,q:  43.5,rV:    55,lV:    85,Camera:0
17094,state:7,Time:19:52:45,Lat:35.55463833,Lng:139.65622167,ax:-1.0933333333333333,ay:0.1388888888888889,az: -0.01,q:42.9375,rV:    55,lV:    85,Camera:0
17130,state:7,Time:19:52:45,Lat:35.55463833,Lng:139.65622167,ax:0.034444444444444444,ay:0.10333333333333333,az:-0.14555555555555555,q:42.875,rV:    55,lV:    85,Camera:0
17166,state:7,Time:19:52:45,Lat:35.55463833,Lng:139.65622167,ax:0.20555555555555555,ay:0.11555555555555555,az:-0.3411111111111111,q:  43.0,rV:    55,lV:    85,Camera:0
17200,state:7,Time:19:52:45,Lat:35.55463833,Lng:139.65622167,ax:0.6733333333333333,ay:0.006666666666666667,az:-0.5133333333333333,q:43.875,rV:    55,lV:    85,Camera:0
17234,state:7,Time:19:52:45,Lat:35.55463833,Lng:139.65622167,ax:0.03111111111111111,ay:0.05555555555555555,az:-0.5444444444444444,q:44.8125,rV:    55,lV:    85,Camera:0
17271,state:7,Time:19:52:45,Lat:35.55463833,Lng:139.65622167,ax:0.6788888888888889,ay:0.035555555555555556,az:-0.5988888888888889,q:45.6875,rV:    55,lV:    85,Camera:0
17306,state:7,Time:19:52:45,Lat:35.55463833,Lng:139.65622167,ax:-0.32555555555555554,ay:0.09333333333333334,az:-0.45444444444444443,q:46.5625,rV:    55,lV:    85,Camera:0
17344,state:7,Time:19:52:46,Lat:35.55465667,Lng:139.65622500,ax:1.1022222222222222,ay:0.06666666666666667,az:-0.4444444444444444,q:47.5625,rV:    55,lV:    85,Camera:0
17383,state:7,Time:19:52:46,Lat:35.55465667,Lng:139.65622500,ax:0.8655555555555555,ay:  0.24,az:-0.10555555555555556,q: 47.75,rV:    55,lV:    85,Camera:0
17421,state:7,Time:19:52:46,Lat:35.55465667,Lng:139.65622500,ax:1.1344444444444444,ay:0.16777777777777778,az: -0.18,q:47.6875,rV:    55,lV:    85,Camera:0
17455,state:7,Time:19:52:46,Lat:35.55465667,Lng:139.65622500,ax:-0.6133333333333333,ay:0.22333333333333333,az:-0.22111111111111112,q:47.4375,rV:    55,lV:    85,Camera:0
17492,state:7,Time:19:52:46,Lat:35.55465667,Lng:139.65622500,ax:0.06555555555555556,ay:0.3611111111111111,az:0.16666666666666666,q:46.375,rV:    55,lV:    85,Camera:0
17528,state:7,Time:19:52:46,Lat:35.55465667,Lng:139.65622500,ax:-0.1922222222222222,ay:0.3377777777777778,az:0.2311111111111111,q:44.8125,rV:    55,lV:    85,Camera:0
17563,state:7,Time:19:52:46,Lat:35.55465667,Lng:139.65622500,ax:0.5522222222222222,ay:0.28555555555555556,az:0.11222222222222222,q:43.9375,rV:    55,lV:    85,Camera:0
17600,state:7,Time:19:52:46,Lat:35.55465667,Lng:139.65622500,ax:-0.9977777777777778,ay:0.20444444444444446,az:-0.22777777777777777,q:43.375,rV:    55,lV:    85,Camera:0
17636,state:7,Time:19:52:46,Lat:35.55465667,Lng:139.65622500,ax:-1.001111111111111,ay:0.08444444444444445,az:-0.4988888888888889,q: 43.75,rV:    55,lV:    85,Camera:0
17675,state:7,Time:19:52:46,Lat:35.55465667,Lng:139.65622500,ax:-0.5888888888888889,ay:0.03333333333333333,az:-0.3277777777777778,q:44.125,rV:    55,lV:    85,Camera:0
