5218,state:7,Time:15:18:59,Lat:0.00000000,Lng:0.00000000,ax:  0.01,ay:-0.0011111111111111111,az:-0.005555555555555556,q:   0.0,rV:     0,lV:     0,Camera:0
15270,state:7,Time:15:19:09,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:   0.0,az:   0.0,q:0.0625,rV:    55,lV:    85,Camera:0
15307,state:7,Time:15:19:09,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:0.0033333333333333335,az:   0.0,q:0.0625,rV:    55,lV:    85,Camera:0
15346,state:7,Time:15:19:09,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:-0.0011111111111111111,az:   0.0,q:0.0625,rV:    55,lV:    85,Camera:0
15387,state:7,Time:15:19:09,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:0.005555555555555556,az:   0.0,q:0.0625,rV:    55,lV:    85,Camera:0
15425,state:7,Time:15:19:09,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:-0.0022222222222222222,az:0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
15461,state:7,Time:15:19:10,Lat:0.00000000,Lng:0.00000000,ax:0.0022222222222222222,ay:-0.0011111111111111111,az:-0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
15498,state:7,Time:15:19:10,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:0.006666666666666667,az:-0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
15536,state:7,Time:15:19:10,Lat:0.00000000,Lng:0.00000000,ax:0.0022222222222222222,ay:0.0022222222222222222,az:-0.0033333333333333335,q:0.0625,rV:    55,lV:    85,Camera:0
15575,state:7,Time:15:19:10,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:-0.0011111111111111111,az:   0.0,q:0.0625,rV:    55,lV:    85,Camera:0
15611,state:7,Time:15:19:10,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:   0.0,az:   0.0,q:0.0625,rV:    55,lV:    85,Camera:0
15648,state:7,Time:15:19:10,Lat:0.00000000,Lng:0.00000000,ax:0.0033333333333333335,ay:0.0011111111111111111,az:-0.0022222222222222222,q:0.0625,rV:    55,lV:    85,Camera:0
15685,state:7,Time:15:19:10,Lat:0.00000000,Lng:0.00000000,ax:0.0022222222222222222,ay:-0.0033333333333333335,az:   0.0,q:0.0625,rV:    55,lV:    85,Camera:0
15725,state:7,Time:15:19:10,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:0.0033333333333333335,az:   0.0,q:0.0625,rV:    55,lV:    85,Camera:0
15761,state:7,Time:15:19:10,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:0.0022222222222222222,az:   0.0,q:0.0625,rV:    55,lV:    85,Camera:0
15799,state:7,Time:15:19:10,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:0.0022222222222222222,az:   0.0,q:0.0625,rV:    55,lV:    85,Camera:0
15841,state:7,Time:15:19:10,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:-0.0011111111111111111,az:   0.0,q:0.0625,rV:    55,lV:    85,Camera:0
15877,state:7,Time:15:19:10,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:0.0033333333333333335,az:0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
15911,state:7,Time:15:19:10,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:-0.0033333333333333335,az:0.0022222222222222222,q:0.0625,rV:    55,lV:    85,Camera:0
15946,state:7,Time:15:19:10,Lat:0.00000000,Lng:0.00000000,ax:0.0022222222222222222,ay:0.0022222222222222222,az:-0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
15984,state:7,Time:15:19:10,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:   0.0,az:0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
16020,state:7,Time:15:19:10,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:0.0033333333333333335,az:-0.0033333333333333335,q:0.0625,rV:    55,lV:    85,Camera:0
16056,state:7,Time:15:19:10,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:0.0022222222222222222,az:   0.0,q:0.0625,rV:    55,lV:    85,Camera:0
16094,state:7,Time:15:19:10,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:0.0011111111111111111,az:0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
16132,state:7,Time:15:19:10,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:   0.0,az:0.0022222222222222222,q:0.0625,rV:    55,lV:    85,Camera:0
16169,state:7,Time:15:19:10,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:0.0022222222222222222,az:-0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
16206,state:7,Time:15:19:10,Lat:0.00000000,Lng:0.00000000,ax:-0.0022222222222222222,ay:   0.0,az:-0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
16244,state:7,Time:15:19:10,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:   0.0,az:0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
16280,state:7,Time:15:19:10,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:-0.0011111111111111111,az:0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
16316,state:7,Time:15:19:10,Lat:0.00000000,Lng:0.00000000,ax:-0.0022222222222222222,ay:-0.0011111111111111111,az:-0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
16354,state:7,Time:15:19:10,Lat:0.00000000,Lng:0.00000000,ax:-0.0033333333333333335,ay:-0.0033333333333333335,az:0.0022222222222222222,q:0.0625,rV:    55,lV:    85,Camera:0
16391,state:7,Time:15:19:10,Lat:0.00000000,Lng:0.00000000,ax:0.0022222222222222222,ay:0.0022222222222222222,az:-0.0022222222222222222,q:0.0625,rV:    55,lV:    85,Camera:0
16427,state:7,Time:15:19:10,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:-0.0011111111111111111,az:   0.0,q:0.0625,rV:    55,lV:    85,Camera:0
16464,state:7,Time:15:19:11,Lat:0.00000000,Lng:0.00000000,ax:-0.0022222222222222222,ay:-0.0011111111111111111,az:0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
16502,state:7,Time:15:19:11,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:0.0033333333333333335,az:   0.0,q:0.0625,rV:    55,lV:    85,Camera:0
16537,state:7,Time:15:19:11,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:0.0033333333333333335,az:   0.0,q:0.0625,rV:    55,lV:    85,Camera:0
16575,state:7,Time:15:19:11,Lat:0.00000000,Lng:0.00000000,ax:-0.0022222222222222222,ay:0.0011111111111111111,az:0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
16610,state:7,Time:15:19:11,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:-0.0022222222222222222,az:-0.0022222222222222222,q:0.0625,rV:    55,lV:    85,Camera:0
16646,state:7,Time:15:19:11,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:-0.0022222222222222222,az:   0.0,q:0.0625,rV:    55,lV:    85,Camera:0
16686,state:7,Time:15:19:11,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:0.0044444444444444444,az:0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
16726,state:7,Time:15:19:11,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:0.0011111111111111111,az:   0.0,q:0.0625,rV:    55,lV:    85,Camera:0
16761,state:7,Time:15:19:11,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:0.0033333333333333335,az:0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
16798,state:7,Time:15:19:11,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:0.0011111111111111111,az:   0.0,q:0.0625,rV:    55,lV:    85,Camera:0
16836,state:7,Time:15:19:11,Lat:0.00000000,Lng:0.00000000,ax:-0.0033333333333333335,ay:-0.0011111111111111111,az:-0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
16874,state:7,Time:15:19:11,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:   0.0,az:   0.0,q:0.0625,rV:    55,lV:    85,Camera:0
16911,state:7,Time:15:19:11,Lat:0.00000000,Lng:0.00000000,ax:0.0033333333333333335,ay:-0.0011111111111111111,az:   0.0,q:0.0625,rV:    55,lV:    85,Camera:0
16946,state:7,Time:15:19:11,Lat:0.00000000,Lng:0.00000000,ax:0.0022222222222222222,ay:-0.0011111111111111111,az:   0.0,q:0.0625,rV:    55,lV:    85,Camera:0
16984,state:7,Time:15:19:11,Lat:0.00000000,Lng:0.00000000,ax:-0.0044444444444444444,ay:0.0022222222222222222,az:-0.0022222222222222222,q:0.0625,rV:    55,lV:    85,Camera:0
17020,state:7,Time:15:19:11,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:-0.0022222222222222222,az:0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
17056,state:7,Time:15:19:11,Lat:0.00000000,Lng:0.00000000,ax:0.0022222222222222222,ay:0.0022222222222222222,az:-0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
17094,state:7,Time:15:19:11,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:0.0022222222222222222,az:0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
17133,state:7,Time:15:19:11,Lat:0.00000000,Lng:0.00000000,ax:-0.0022222222222222222,ay:0.0033333333333333335,az:-0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
17170,state:7,Time:15:19:11,Lat:0.00000000,Lng:0.00000000,ax:0.0022222222222222222,ay:   0.0,az:   0.0,q:0.0625,rV:    55,lV:    85,Camera:0
17208,state:7,Time:15:19:11,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:0.0011111111111111111,az:-0.0022222222222222222,q:0.0625,rV:    55,lV:    85,Camera:0
17244,state:7,Time:15:19:11,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:-0.0011111111111111111,az:   0.0,q:0.0625,rV:    55,lV:    85,Camera:0
17281,state:7,Time:15:19:11,Lat:0.00000000,Lng:0.00000000,ax:0.0022222222222222222,ay:-0.005555555555555556,az:0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
