5228,state:0,Time:16:43:52,Lat:35.55522167,Lng:139.65507500,ax:-0.0022222222222222222,ay:   0.0,az:0.0011111111111111111,q:   0.0,rV:     0,lV:     0,Camera:0
5477,state:0,Time:16:43:53,Lat:35.55522333,Lng:139.65507500,ax:0.0011111111111111111,ay:-0.0022222222222222222,az:-0.0022222222222222222,q:359.875,rV:     0,lV:     0,Camera:0
5512,state:0,Time:16:43:53,Lat:35.55522333,Lng:139.65507500,ax:-0.0011111111111111111,ay:0.0011111111111111111,az:-0.0022222222222222222,q:359.875,rV:     0,lV:     0,Camera:0
5550,state:0,Time:16:43:53,Lat:35.55522333,Lng:139.65507500,ax:0.0011111111111111111,ay:-0.005555555555555556,az:-0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
5585,state:0,Time:16:43:53,Lat:35.55522333,Lng:139.65507500,ax:-0.0011111111111111111,ay:0.0022222222222222222,az:-0.0022222222222222222,q:359.875,rV:     0,lV:     0,Camera:0
5622,state:0,Time:16:43:53,Lat:35.55522333,Lng:139.65507500,ax:-0.0011111111111111111,ay:-0.0011111111111111111,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
5659,state:0,Time:16:43:53,Lat:35.55522333,Lng:139.65507500,ax:-0.0011111111111111111,ay:   0.0,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
5693,state:0,Time:16:43:53,Lat:35.55522333,Lng:139.65507500,ax:   0.0,ay:-0.0011111111111111111,az:-0.0033333333333333335,q:359.875,rV:     0,lV:     0,Camera:0
5729,state:0,Time:16:43:53,Lat:35.55522333,Lng:139.65507500,ax:0.0011111111111111111,ay:0.0011111111111111111,az:-0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
5765,state:0,Time:16:43:53,Lat:35.55522333,Lng:139.65507500,ax:   0.0,ay:-0.0022222222222222222,az:0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
5800,state:0,Time:16:43:53,Lat:35.55522333,Lng:139.65507500,ax:-0.0011111111111111111,ay:-0.0044444444444444444,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
5837,state:0,Time:16:43:53,Lat:35.55522333,Lng:139.65507500,ax:   0.0,ay:-0.0022222222222222222,az:-0.0044444444444444444,q:359.875,rV:     0,lV:     0,Camera:0
5872,state:0,Time:16:43:53,Lat:35.55522333,Lng:139.65507500,ax:-0.0011111111111111111,ay:-0.0022222222222222222,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
5909,state:0,Time:16:43:53,Lat:35.55522333,Lng:139.65507500,ax:0.0022222222222222222,ay:-0.0044444444444444444,az:-0.0022222222222222222,q:359.875,rV:     0,lV:     0,Camera:0
5944,state:0,Time:16:43:53,Lat:35.55522333,Lng:139.65507500,ax:   0.0,ay:-0.0033333333333333335,az:-0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
5979,state:0,Time:16:43:53,Lat:35.55522333,Lng:139.65507500,ax:   0.0,ay:0.0033333333333333335,az:-0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
6014,state:0,Time:16:43:53,Lat:35.55522333,Lng:139.65507500,ax:0.0011111111111111111,ay:-0.0011111111111111111,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
