5304,state:6,Time:21:43:53,Lat:0.00000000,Lng:0.00000000,ax:-0.0033333333333333335,ay:0.0022222222222222222,az:0.0022222222222222222,q:   0.0,rV:     0,lV:     0,Camera:0,ConnectingState:1,AR-Approach:False,AR-info:{},AR-move:none,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
6581,state:6,Time:21:43:54,Lat:0.00000000,Lng:0.00000000,ax:0.005555555555555556,ay:-0.0022222222222222222,az:-0.0033333333333333335,q: 0.125,rV:     0,lV:     0,Camera:1,ConnectingState:1,AR-Approach:False,AR-info:{},AR-move:none,Color-Approach:True,Color-data:x798y:902Area:23100.0,Color-move:stop,Done-Approach:False,Done-Connect:False
7622,state:6,Time:21:43:55,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:0.0022222222222222222,az:   0.0,q: 0.125,rV:     0,lV:     0,Camera:2,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': -0.0040180576786786075, 'y': 0.03787869661277881, 'z': 0.15867532075540985, 'roll': -154.91016114604307, 'pitch': -0.39478830971358075, 'yaw': 0.14230184871758034, 'norm': 0.1631833259295334, 'rvec': array([-2.70366776, -0.00543014, -0.00856757])}},AR-move:none,Color-Approach:True,Color-data:x798y:902Area:23100.0,Color-move:stop,Done-Approach:False,Done-Connect:False
8632,state:6,Time:21:43:56,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:   0.0,az:-0.0033333333333333335,q: 0.125,rV:     0,lV:     0,Camera:3,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': -0.0009906898538532417, 'y': 0.0378482794968107, 'z': 0.15787232706003695, 'roll': -154.96055332609222, 'pitch': -0.5974992233542824, 'yaw': -0.1257628725408523, 'norm': 0.16234883855022342, 'rvec': array([-2.70454933e+00, -1.63239982e-04, -1.47611826e-02])}},AR-move:none,Color-Approach:True,Color-data:x798y:902Area:23100.0,Color-move:stop,Done-Approach:False,Done-Connect:False
9701,state:6,Time:21:43:57,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:0.0011111111111111111,az:-0.0022222222222222222,q: 0.125,rV:     0,lV:     0,Camera:4,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': -0.0006399384872265519, 'y': 0.03791655150948233, 'z': 0.1572014419174379, 'roll': -154.72459953166265, 'pitch': -0.2060097809499152, 'yaw': 0.2992609426246173, 'norm': 0.16171075332382898, 'rvec': array([-2.7004323 , -0.00814085, -0.00327352])}},AR-move:straight,Color-Approach:True,Color-data:x798y:902Area:23100.0,Color-move:stop,Done-Approach:False,Done-Connect:False
10712,state:6,Time:21:43:58,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:-0.0011111111111111111,az:0.0011111111111111111,q: 0.125,rV:     0,lV:     0,Camera:5,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': -0.0006399384872265519, 'y': 0.03791655150948233, 'z': 0.1572014419174379, 'roll': -154.72459953166265, 'pitch': -0.2060097809499152, 'yaw': 0.2992609426246173, 'norm': 0.16171075332382898, 'rvec': array([-2.7004323 , -0.00814085, -0.00327352])}},AR-move:straight,Color-Approach:True,Color-data:x798y:902Area:23100.0,Color-move:stop,Done-Approach:False,Done-Connect:False
11719,state:6,Time:21:43:59,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:0.0033333333333333335,az:-0.0011111111111111111,q: 0.125,rV:     0,lV:     0,Camera:6,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': -0.0006399384872265519, 'y': 0.03791655150948233, 'z': 0.1572014419174379, 'roll': -154.72459953166265, 'pitch': -0.2060097809499152, 'yaw': 0.2992609426246173, 'norm': 0.16171075332382898, 'rvec': array([-2.7004323 , -0.00814085, -0.00327352])}},AR-move:straight,Color-Approach:True,Color-data:x798y:902Area:23100.0,Color-move:stop,Done-Approach:False,Done-Connect:False
12758,state:6,Time:21:44:00,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:-0.0022222222222222222,az:0.0011111111111111111,q: 0.125,rV:     0,lV:     0,Camera:7,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': -0.0006399384872265519, 'y': 0.03791655150948233, 'z': 0.1572014419174379, 'roll': -154.72459953166265, 'pitch': -0.2060097809499152, 'yaw': 0.2992609426246173, 'norm': 0.16171075332382898, 'rvec': array([-2.7004323 , -0.00814085, -0.00327352])}},AR-move:straight,Color-Approach:True,Color-data:x798y:902Area:23100.0,Color-move:stop,Done-Approach:False,Done-Connect:False
13768,state:6,Time:21:44:01,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:0.005555555555555556,az:0.0011111111111111111,q: 0.125,rV:     0,lV:     0,Camera:8,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': -0.0005930429664743256, 'y': 0.037916252972705386, 'z': 0.15720030608191285, 'roll': -154.72151560403955, 'pitch': -0.16046256370937031, 'yaw': -0.25054180225048717, 'norm': 0.16170940038135495, 'rvec': array([-2.70039795,  0.00505617, -0.00510534])}},AR-move:straight,Color-Approach:True,Color-data:x798y:902Area:23100.0,Color-move:stop,Done-Approach:False,Done-Connect:False
14824,state:6,Time:21:44:02,Lat:0.00000000,Lng:0.00000000,ax:0.0022222222222222222,ay:0.0011111111111111111,az:0.0011111111111111111,q: 0.125,rV:     0,lV:     0,Camera:9,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': -0.0006399384872265519, 'y': 0.03791655150948233, 'z': 0.1572014419174379, 'roll': -154.72459953166265, 'pitch': -0.2060097809499152, 'yaw': 0.2992609426246173, 'norm': 0.16171075332382898, 'rvec': array([-2.7004323 , -0.00814085, -0.00327352])}},AR-move:straight,Color-Approach:True,Color-data:x798y:902Area:23100.0,Color-move:stop,Done-Approach:False,Done-Connect:False
15854,state:6,Time:21:44:03,Lat:0.00000000,Lng:0.00000000,ax:0.0022222222222222222,ay:-0.0022222222222222222,az:-0.0022222222222222222,q: 0.125,rV:     0,lV:     0,Camera:10,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': -0.0006399384872265519, 'y': 0.03791655150948233, 'z': 0.1572014419174379, 'roll': -154.72459953166265, 'pitch': -0.2060097809499152, 'yaw': 0.2992609426246173, 'norm': 0.16171075332382898, 'rvec': array([-2.7004323 , -0.00814085, -0.00327352])}},AR-move:straight,Color-Approach:True,Color-data:x798y:902Area:23100.0,Color-move:stop,Done-Approach:False,Done-Connect:False
16871,state:6,Time:21:44:04,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:0.0033333333333333335,az:   0.0,q: 0.125,rV:     0,lV:     0,Camera:11,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': -0.0006399384872265519, 'y': 0.03791655150948233, 'z': 0.1572014419174379, 'roll': -154.72459953166265, 'pitch': -0.2060097809499152, 'yaw': 0.2992609426246173, 'norm': 0.16171075332382898, 'rvec': array([-2.7004323 , -0.00814085, -0.00327352])}},AR-move:straight,Color-Approach:True,Color-data:x798y:902Area:23100.0,Color-move:stop,Done-Approach:False,Done-Connect:False
17864,state:6,Time:21:44:05,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:-0.0022222222222222222,az:-0.0022222222222222222,q: 0.125,rV:     0,lV:     0,Camera:12,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': -0.0006399384872265519, 'y': 0.03791655150948233, 'z': 0.1572014419174379, 'roll': -154.72459953166265, 'pitch': -0.2060097809499152, 'yaw': 0.2992609426246173, 'norm': 0.16171075332382898, 'rvec': array([-2.7004323 , -0.00814085, -0.00327352])}},AR-move:straight,Color-Approach:True,Color-data:x798y:902Area:23100.0,Color-move:stop,Done-Approach:False,Done-Connect:False
