5235,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0011111111111111111,ay:-0.0011111111111111111,az:0.0022222222222222222,q:   0.0,rV:     0,lV:     0,Camera:0,ConnectingState:1,AR-Approach:False,AR-info:{},AR-move:none,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
6415,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:0.0033333333333333335,az:-0.0011111111111111111,q:   0.0,rV:     0,lV:     0,Camera:1,ConnectingState:1,AR-Approach:False,AR-info:{},AR-move:none,Color-Approach:True,Color-data:x953y:884Area:29663.5,Color-move:stop,Done-Approach:False,Done-Connect:False
7424,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:-0.011111111111111112,az:   0.0,q:   0.0,rV:     0,lV:     0,Camera:2,ConnectingState:1,AR-Approach:True,AR-info:{'6': {'x': 0.012323149887056076, 'y': 0.03212639906201896, 'z': 0.15374570790042347, 'roll': -152.6303426120547, 'pitch': -43.93756394071785, 'yaw': -12.811603506065111, 'norm': 0.15754906612745528, 'rvec': array([-2.5617247 ,  0.03559244, -1.09137561])}},AR-move:none,Color-Approach:True,Color-data:x953y:884Area:29663.5,Color-move:stop,Done-Approach:False,Done-Connect:False
8431,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:-0.0022222222222222222,az:   0.0,q:   0.0,rV:     0,lV:     0,Camera:3,ConnectingState:1,AR-Approach:True,AR-info:{'6': {'x': 0.012323149887056076, 'y': 0.03212639906201896, 'z': 0.15374570790042347, 'roll': -152.6303426120547, 'pitch': -43.93756394071785, 'yaw': -12.811603506065111, 'norm': 0.15754906612745528, 'rvec': array([-2.5617247 ,  0.03559244, -1.09137561])}},AR-move:none,Color-Approach:True,Color-data:x953y:884Area:29663.5,Color-move:stop,Done-Approach:False,Done-Connect:False
9537,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0022222222222222222,ay:   0.0,az:-0.0011111111111111111,q:   0.0,rV:     0,lV:     0,Camera:4,ConnectingState:1,AR-Approach:True,AR-info:{'6': {'x': 0.012323149887056076, 'y': 0.03212639906201896, 'z': 0.15374570790042347, 'roll': -152.6303426120547, 'pitch': -43.93756394071785, 'yaw': -12.811603506065111, 'norm': 0.15754906612745528, 'rvec': array([-2.5617247 ,  0.03559244, -1.09137561])}},AR-move:straight-right,Color-Approach:True,Color-data:x953y:884Area:29663.5,Color-move:stop,Done-Approach:False,Done-Connect:False
10553,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0011111111111111111,ay:0.0033333333333333335,az:-0.0011111111111111111,q:   0.0,rV:     0,lV:     0,Camera:5,ConnectingState:1,AR-Approach:True,AR-info:{'6': {'x': 0.012323149887056076, 'y': 0.03212639906201896, 'z': 0.15374570790042347, 'roll': -152.6303426120547, 'pitch': -43.93756394071785, 'yaw': -12.811603506065111, 'norm': 0.15754906612745528, 'rvec': array([-2.5617247 ,  0.03559244, -1.09137561])}},AR-move:straight-right,Color-Approach:True,Color-data:x953y:884Area:29663.5,Color-move:stop,Done-Approach:False,Done-Connect:False
11554,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0011111111111111111,ay:-0.0011111111111111111,az:-0.0011111111111111111,q:   0.0,rV:     0,lV:     0,Camera:6,ConnectingState:1,AR-Approach:True,AR-info:{'6': {'x': 0.012323149887056076, 'y': 0.03212639906201896, 'z': 0.15374570790042347, 'roll': -152.6303426120547, 'pitch': -43.93756394071785, 'yaw': -12.811603506065111, 'norm': 0.15754906612745528, 'rvec': array([-2.5617247 ,  0.03559244, -1.09137561])}},AR-move:straight-right,Color-Approach:True,Color-data:x953y:884Area:29663.5,Color-move:stop,Done-Approach:False,Done-Connect:False
12598,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0033333333333333335,ay:0.0011111111111111111,az:-0.0011111111111111111,q:   0.0,rV:     0,lV:     0,Camera:7,ConnectingState:1,AR-Approach:True,AR-info:{'6': {'x': 0.012323149887056076, 'y': 0.03212639906201896, 'z': 0.15374570790042347, 'roll': -152.6303426120547, 'pitch': -43.93756394071785, 'yaw': -12.811603506065111, 'norm': 0.15754906612745528, 'rvec': array([-2.5617247 ,  0.03559244, -1.09137561])}},AR-move:straight-right,Color-Approach:True,Color-data:x953y:884Area:29663.5,Color-move:stop,Done-Approach:False,Done-Connect:False
13605,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:-0.0011111111111111111,az:   0.0,q:   0.0,rV:     0,lV:     0,Camera:8,ConnectingState:1,AR-Approach:True,AR-info:{'6': {'x': 0.012323149887056076, 'y': 0.03212639906201896, 'z': 0.15374570790042347, 'roll': -152.6303426120547, 'pitch': -43.93756394071785, 'yaw': -12.811603506065111, 'norm': 0.15754906612745528, 'rvec': array([-2.5617247 ,  0.03559244, -1.09137561])}},AR-move:straight-right,Color-Approach:True,Color-data:x953y:884Area:29663.5,Color-move:stop,Done-Approach:False,Done-Connect:False
14637,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:0.0022222222222222222,az:0.0011111111111111111,q:   0.0,rV:     0,lV:     0,Camera:9,ConnectingState:1,AR-Approach:True,AR-info:{'6': {'x': 0.012248944679681758, 'y': 0.03196829354216285, 'z': 0.15309364180314378, 'roll': -152.89453601349908, 'pitch': -43.92305219212503, 'yaw': -12.34412325385374, 'norm': 0.15687470031306222, 'rvec': array([-2.56382122,  0.02775181, -1.08923229])}},AR-move:straight-right,Color-Approach:True,Color-data:x953y:884Area:29663.5,Color-move:stop,Done-Approach:False,Done-Connect:False
15694,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:   0.0,az:-0.0011111111111111111,q:   0.0,rV:     0,lV:     0,Camera:10,ConnectingState:1,AR-Approach:True,AR-info:{'6': {'x': 0.012323149887056076, 'y': 0.03212639906201896, 'z': 0.15374570790042347, 'roll': -152.6303426120547, 'pitch': -43.93756394071785, 'yaw': -12.811603506065111, 'norm': 0.15754906612745528, 'rvec': array([-2.5617247 ,  0.03559244, -1.09137561])}},AR-move:straight-right,Color-Approach:True,Color-data:x953y:884Area:29663.5,Color-move:stop,Done-Approach:False,Done-Connect:False
16710,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:-0.0011111111111111111,az:   0.0,q:   0.0,rV:     0,lV:     0,Camera:11,ConnectingState:1,AR-Approach:True,AR-info:{'6': {'x': 0.012323149887056076, 'y': 0.03212639906201896, 'z': 0.15374570790042347, 'roll': -152.6303426120547, 'pitch': -43.93756394071785, 'yaw': -12.811603506065111, 'norm': 0.15754906612745528, 'rvec': array([-2.5617247 ,  0.03559244, -1.09137561])}},AR-move:straight-right,Color-Approach:True,Color-data:x953y:884Area:29663.5,Color-move:stop,Done-Approach:False,Done-Connect:False
17714,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0011111111111111111,ay:   0.0,az:-0.0022222222222222222,q:   0.0,rV:     0,lV:     0,Camera:12,ConnectingState:1,AR-Approach:True,AR-info:{'6': {'x': 0.012323149887056076, 'y': 0.03212639906201896, 'z': 0.15374570790042347, 'roll': -152.6303426120547, 'pitch': -43.93756394071785, 'yaw': -12.811603506065111, 'norm': 0.15754906612745528, 'rvec': array([-2.5617247 ,  0.03559244, -1.09137561])}},AR-move:straight-right,Color-Approach:True,Color-data:x953y:884Area:29663.5,Color-move:stop,Done-Approach:False,Done-Connect:False
