5235,state:0,Time:18:17:40,Lat:0.00000000,Lng:0.00000000,ax:0.012222222222222223,ay:-0.014444444444444444,az:0.005555555555555556,q:   0.0,rV:     0,lV:     0,Camera:0
5545,state:0,Time:18:17:40,Lat:0.00000000,Lng:0.00000000,ax:0.013333333333333334,ay:0.0044444444444444444,az:-0.0022222222222222222,q:359.9375,rV:     0,lV:     0,Camera:0
5580,state:0,Time:18:17:41,Lat:0.00000000,Lng:0.00000000,ax:-0.005555555555555556,ay:-0.0011111111111111111,az:-0.0033333333333333335,q:359.9375,rV:     0,lV:     0,Camera:0
5617,state:0,Time:18:17:41,Lat:0.00000000,Lng:0.00000000,ax:-0.0044444444444444444,ay:0.005555555555555556,az:0.0077777777777777776,q:359.9375,rV:     0,lV:     0,Camera:0
5651,state:0,Time:18:17:41,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:0.0011111111111111111,az:-0.0044444444444444444,q:359.9375,rV:     0,lV:     0,Camera:0
5686,state:0,Time:18:17:41,Lat:0.00000000,Lng:0.00000000,ax:-0.008888888888888889,ay:-0.008888888888888889,az:0.0044444444444444444,q:359.9375,rV:     0,lV:     0,Camera:0
5720,state:0,Time:18:17:41,Lat:0.00000000,Lng:0.00000000,ax:-0.0044444444444444444,ay:   0.0,az:0.0033333333333333335,q:359.9375,rV:     0,lV:     0,Camera:0
5756,state:0,Time:18:17:41,Lat:0.00000000,Lng:0.00000000,ax:-0.012222222222222223,ay:0.008888888888888889,az:-0.0077777777777777776,q:359.9375,rV:     0,lV:     0,Camera:0
5790,state:0,Time:18:17:41,Lat:0.00000000,Lng:0.00000000,ax:0.011111111111111112,ay:0.0022222222222222222,az:0.0033333333333333335,q:359.9375,rV:     0,lV:     0,Camera:0
5827,state:0,Time:18:17:41,Lat:0.00000000,Lng:0.00000000,ax:-0.006666666666666667,ay:-0.0022222222222222222,az:0.005555555555555556,q:359.9375,rV:     0,lV:     0,Camera:0
5861,state:0,Time:18:17:41,Lat:0.00000000,Lng:0.00000000,ax: -0.01,ay:   0.0,az:0.0033333333333333335,q:359.9375,rV:     0,lV:     0,Camera:0
5898,state:0,Time:18:17:41,Lat:0.00000000,Lng:0.00000000,ax:0.0033333333333333335,ay:0.0022222222222222222,az:   0.0,q:359.9375,rV:     0,lV:     0,Camera:0
5931,state:0,Time:18:17:41,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:-0.0033333333333333335,az:0.0022222222222222222,q:359.9375,rV:     0,lV:     0,Camera:0
5968,state:0,Time:18:17:41,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:0.0011111111111111111,az:0.0011111111111111111,q:359.9375,rV:     0,lV:     0,Camera:0
6003,state:0,Time:18:17:41,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:0.0033333333333333335,az:   0.0,q:359.9375,rV:     0,lV:     0,Camera:0
6038,state:0,Time:18:17:41,Lat:0.00000000,Lng:0.00000000,ax:-0.0044444444444444444,ay:-0.005555555555555556,az:0.0011111111111111111,q:359.9375,rV:     0,lV:     0,Camera:0
6072,state:0,Time:18:17:41,Lat:0.00000000,Lng:0.00000000,ax:-0.005555555555555556,ay:-0.008888888888888889,az:0.0033333333333333335,q:359.9375,rV:     0,lV:     0,Camera:0
6109,state:0,Time:18:17:41,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:   0.0,az:-0.0011111111111111111,q:359.9375,rV:     0,lV:     0,Camera:0
6143,state:0,Time:18:17:41,Lat:0.00000000,Lng:0.00000000,ax:-0.008888888888888889,ay:0.0044444444444444444,az:0.0011111111111111111,q:359.9375,rV:     0,lV:     0,Camera:0
6179,state:0,Time:18:17:41,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:-0.0022222222222222222,az:0.0022222222222222222,q:359.9375,rV:     0,lV:     0,Camera:0
6213,state:0,Time:18:17:41,Lat:0.00000000,Lng:0.00000000,ax:-0.0044444444444444444,ay:-0.0033333333333333335,az:0.0022222222222222222,q:359.9375,rV:     0,lV:     0,Camera:0
6249,state:0,Time:18:17:41,Lat:0.00000000,Lng:0.00000000,ax:-0.0044444444444444444,ay:-0.0011111111111111111,az:-0.0011111111111111111,q:359.9375,rV:     0,lV:     0,Camera:0
6283,state:0,Time:18:17:41,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:0.0022222222222222222,az:0.0011111111111111111,q:359.9375,rV:     0,lV:     0,Camera:0
6320,state:0,Time:18:17:41,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:0.0033333333333333335,az:-0.0011111111111111111,q:359.9375,rV:     0,lV:     0,Camera:0
6354,state:0,Time:18:17:41,Lat:0.00000000,Lng:0.00000000,ax:-0.0022222222222222222,ay:0.0022222222222222222,az:0.0011111111111111111,q:359.9375,rV:     0,lV:     0,Camera:0
6390,state:0,Time:18:17:41,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:   0.0,az:0.0011111111111111111,q:359.9375,rV:     0,lV:     0,Camera:0
6424,state:0,Time:18:17:41,Lat:0.00000000,Lng:0.00000000,ax:-0.0044444444444444444,ay:   0.0,az:   0.0,q:359.9375,rV:     0,lV:     0,Camera:0
6460,state:0,Time:18:17:41,Lat:0.00000000,Lng:0.00000000,ax:-0.0022222222222222222,ay:   0.0,az:0.0011111111111111111,q:359.9375,rV:     0,lV:     0,Camera:0
6494,state:0,Time:18:17:41,Lat:0.00000000,Lng:0.00000000,ax:-0.0022222222222222222,ay:0.0033333333333333335,az:0.0011111111111111111,q:359.9375,rV:     0,lV:     0,Camera:0
6531,state:0,Time:18:17:41,Lat:0.00000000,Lng:0.00000000,ax:-0.005555555555555556,ay:-0.0011111111111111111,az:0.0011111111111111111,q:359.9375,rV:     0,lV:     0,Camera:0
6566,state:0,Time:18:17:42,Lat:0.00000000,Lng:0.00000000,ax:-0.0044444444444444444,ay:-0.0011111111111111111,az:-0.0011111111111111111,q:359.9375,rV:     0,lV:     0,Camera:0
6602,state:0,Time:18:17:42,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:0.0011111111111111111,az:   0.0,q:359.9375,rV:     0,lV:     0,Camera:0
6642,state:0,Time:18:17:42,Lat:0.00000000,Lng:0.00000000,ax:-0.0044444444444444444,ay:0.0011111111111111111,az:-0.0022222222222222222,q:359.9375,rV:     0,lV:     0,Camera:0
6679,state:0,Time:18:17:42,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:   0.0,az:0.0033333333333333335,q:359.9375,rV:     0,lV:     0,Camera:0
6713,state:0,Time:18:17:42,Lat:0.00000000,Lng:0.00000000,ax:-0.0022222222222222222,ay:-0.0011111111111111111,az:   0.0,q:359.9375,rV:     0,lV:     0,Camera:0
6751,state:0,Time:18:17:42,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:-0.0011111111111111111,az:0.0033333333333333335,q:359.9375,rV:     0,lV:     0,Camera:0
