5213,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0044444444444444444,ay:   0.0,az:0.005555555555555556,q:   0.0,Camera:0,rV:     0,lV:     0,ConnectingState:1,AR-Approach:False,AR-info:{},AR-move:none,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
6248,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:0.0022222222222222222,az:-0.0011111111111111111,q:0.0625,Camera:1,rV:     0,lV:     0,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.012576027603613886, 'y': 0.026916989115998366, 'z': 0.15365724304898007, 'roll': 113.40596077685747, 'pitch': -0.13604670315981177, 'yaw': -0.2525149760725271, 'norm': 0.15650312813094494, 'rvec': array([ 1.97929741e+00, -5.90502567e-03, -5.14829454e-04])}},AR-move:none,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
7266,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:0.0011111111111111111,az:-0.0011111111111111111,q:0.0625,Camera:2,rV:     0,lV:     0,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.012576027603613886, 'y': 0.026916989115998366, 'z': 0.15365724304898007, 'roll': 113.40596077685747, 'pitch': -0.13604670315981177, 'yaw': -0.2525149760725271, 'norm': 0.15650312813094494, 'rvec': array([ 1.97929741e+00, -5.90502567e-03, -5.14829454e-04])}},AR-move:none,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
8293,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0022222222222222222,ay:0.0022222222222222222,az:0.0033333333333333335,q:0.0625,Camera:3,rV:   -80,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.012576027603613886, 'y': 0.026916989115998366, 'z': 0.15365724304898007, 'roll': 113.40596077685747, 'pitch': -0.13604670315981177, 'yaw': -0.2525149760725271, 'norm': 0.15650312813094494, 'rvec': array([ 1.97929741e+00, -5.90502567e-03, -5.14829454e-04])}},AR-move:stay-right,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
9337,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:-0.0011111111111111111,az:0.0011111111111111111,q:0.0625,Camera:4,rV:   -80,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.012576027603613886, 'y': 0.026916989115998366, 'z': 0.15365724304898007, 'roll': 113.40596077685747, 'pitch': -0.13604670315981177, 'yaw': -0.2525149760725271, 'norm': 0.15650312813094494, 'rvec': array([ 1.97929741e+00, -5.90502567e-03, -5.14829454e-04])}},AR-move:stay-right,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
10348,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:-0.0011111111111111111,az:0.0011111111111111111,q:0.0625,Camera:5,rV:   -80,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.012576027603613886, 'y': 0.026916989115998366, 'z': 0.15365724304898007, 'roll': 113.40596077685747, 'pitch': -0.13604670315981177, 'yaw': -0.2525149760725271, 'norm': 0.15650312813094494, 'rvec': array([ 1.97929741e+00, -5.90502567e-03, -5.14829454e-04])}},AR-move:stay-right,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
11375,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:-0.0011111111111111111,az:   0.0,q:0.0625,Camera:6,rV:   -80,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.012576027603613886, 'y': 0.026916989115998366, 'z': 0.15365724304898007, 'roll': 113.40596077685747, 'pitch': -0.13604670315981177, 'yaw': -0.2525149760725271, 'norm': 0.15650312813094494, 'rvec': array([ 1.97929741e+00, -5.90502567e-03, -5.14829454e-04])}},AR-move:stay-right,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
12385,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:0.0022222222222222222,az:-0.0022222222222222222,q:0.0625,Camera:7,rV:   -80,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.012576027603613886, 'y': 0.026916989115998366, 'z': 0.15365724304898007, 'roll': 113.40596077685747, 'pitch': -0.13604670315981177, 'yaw': -0.2525149760725271, 'norm': 0.15650312813094494, 'rvec': array([ 1.97929741e+00, -5.90502567e-03, -5.14829454e-04])}},AR-move:stay-right,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
13383,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0011111111111111111,ay:-0.0011111111111111111,az:-0.0011111111111111111,q:0.0625,Camera:8,rV:   -80,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.012576027603613886, 'y': 0.026916989115998366, 'z': 0.15365724304898007, 'roll': 113.40596077685747, 'pitch': -0.13604670315981177, 'yaw': -0.2525149760725271, 'norm': 0.15650312813094494, 'rvec': array([ 1.97929741e+00, -5.90502567e-03, -5.14829454e-04])}},AR-move:stay-right,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
14447,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0011111111111111111,ay:   0.0,az:-0.0011111111111111111,q:0.0625,Camera:9,rV:   -80,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.012576027603613886, 'y': 0.026916989115998366, 'z': 0.15365724304898007, 'roll': 113.40596077685747, 'pitch': -0.13604670315981177, 'yaw': -0.2525149760725271, 'norm': 0.15650312813094494, 'rvec': array([ 1.97929741e+00, -5.90502567e-03, -5.14829454e-04])}},AR-move:stay-right,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
15469,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:   0.0,az:   0.0,q:0.0625,Camera:10,rV:   -80,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.012576027603613886, 'y': 0.026916989115998366, 'z': 0.15365724304898007, 'roll': 113.40596077685747, 'pitch': -0.13604670315981177, 'yaw': -0.2525149760725271, 'norm': 0.15650312813094494, 'rvec': array([ 1.97929741e+00, -5.90502567e-03, -5.14829454e-04])}},AR-move:stay-right,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
16499,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:-0.0011111111111111111,az:0.0022222222222222222,q:0.0625,Camera:11,rV:   -80,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.012576027603613886, 'y': 0.026916989115998366, 'z': 0.15365724304898007, 'roll': 113.40596077685747, 'pitch': -0.13604670315981177, 'yaw': -0.2525149760725271, 'norm': 0.15650312813094494, 'rvec': array([ 1.97929741e+00, -5.90502567e-03, -5.14829454e-04])}},AR-move:stay-right,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
17519,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:0.0022222222222222222,az:0.0011111111111111111,q:0.0625,Camera:12,rV:   -80,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.012576027603613886, 'y': 0.026916989115998366, 'z': 0.15365724304898007, 'roll': 113.40596077685747, 'pitch': -0.13604670315981177, 'yaw': -0.2525149760725271, 'norm': 0.15650312813094494, 'rvec': array([ 1.97929741e+00, -5.90502567e-03, -5.14829454e-04])}},AR-move:stay-right,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
18523,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0022222222222222222,ay:   0.0,az:   0.0,q:0.0625,Camera:13,rV:   -80,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.012576027603613886, 'y': 0.026916989115998366, 'z': 0.15365724304898007, 'roll': 113.40596077685747, 'pitch': -0.13604670315981177, 'yaw': -0.2525149760725271, 'norm': 0.15650312813094494, 'rvec': array([ 1.97929741e+00, -5.90502567e-03, -5.14829454e-04])}},AR-move:stay-right,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
