5184,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0033333333333333335,ay:0.0022222222222222222,az:-0.0022222222222222222,q:   0.0,Camera:0,rV:     0,lV:     0,ConnectingState:1,AR-Approach:False,AR-info:{},AR-move:none,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
6376,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0022222222222222222,ay:0.0011111111111111111,az:   0.0,q:   0.0,Camera:1,rV:     0,lV:     0,ConnectingState:1,AR-Approach:False,AR-info:{},AR-move:none,Color-Approach:True,Color-data:x328y:348Area:1326.5,Color-move:stop,Done-Approach:False,Done-Connect:False
7548,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0022222222222222222,ay:0.005555555555555556,az:-0.0022222222222222222,q:   0.0,Camera:2,rV:     0,lV:     0,ConnectingState:1,AR-Approach:False,AR-info:{},AR-move:none,Color-Approach:True,Color-data:x328y:348Area:1415.5,Color-move:stop,Done-Approach:False,Done-Connect:False
8746,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:-0.0022222222222222222,az:   0.0,q:   0.0,Camera:3,rV:    69,lV:    69,ConnectingState:1,AR-Approach:False,AR-info:{},AR-move:none,Color-Approach:True,Color-data:x328y:348Area:1389.5,Color-move:stop,Done-Approach:False,Done-Connect:False
9896,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.006666666666666667,ay:   0.0,az:0.0011111111111111111,q:   0.0,Camera:4,rV:    69,lV:    69,ConnectingState:1,AR-Approach:False,AR-info:{},AR-move:none,Color-Approach:True,Color-data:x328y:348Area:1264.0,Color-move:stop,Done-Approach:False,Done-Connect:False
10924,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:-0.005555555555555556,az:-0.0011111111111111111,q:   0.0,Camera:5,rV:    69,lV:    69,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': -0.007797916324943255, 'y': 0.023639106579104275, 'z': 0.195804544330859, 'roll': -151.60548143336138, 'pitch': 43.34430075984807, 'yaw': 14.69025372565154, 'norm': 0.19738043074095363, 'rvec': array([-2.55725541, -0.07162077,  1.08554304])}, '5': {'x': 0.016739764967778015, 'y': 0.022476065752333508, 'z': 0.1918923411275129, 'roll': -149.09830920957262, 'pitch': -39.30321159324203, 'yaw': -26.25557197995791, 'norm': 0.19392798623787502, 'rvec': array([-2.56849828,  0.33772991, -1.05841482])}},AR-move:none,Color-Approach:True,Color-data:x328y:348Area:1264.0,Color-move:stop,Done-Approach:False,Done-Connect:False
11907,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0011111111111111111,ay:-0.0022222222222222222,az:   0.0,q:   0.0,Camera:6,rV:    69,lV:    69,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': -0.007799789083154351, 'y': 0.023582989470924267, 'z': 0.19511028439583797, 'roll': -151.7384986848573, 'pitch': 43.88728453653146, 'yaw': 15.152476505746892, 'norm': 0.1966850710632411, 'rvec': array([-2.55816026, -0.0797099 ,  1.10143856])}, '5': {'x': 0.016721053636864987, 'y': 0.022518516551557257, 'z': 0.19200961283267137, 'roll': -148.11262356250177, 'pitch': -39.47412853148196, 'yaw': -26.79929934528172, 'norm': 0.19404733608726, 'rvec': array([-2.55378002,  0.33836157, -1.06407088])}},AR-move:none,Color-Approach:True,Color-data:x328y:348Area:1264.0,Color-move:stop,Done-Approach:False,Done-Connect:False
12939,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:   0.0,az:0.0011111111111111111,q:   0.0,Camera:7,rV:     0,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': -0.007799789083154351, 'y': 0.023582989470924267, 'z': 0.19511028439583797, 'roll': -151.7384986848573, 'pitch': 43.88728453653146, 'yaw': 15.152476505746892, 'norm': 0.1966850710632411, 'rvec': array([-2.55816026, -0.0797099 ,  1.10143856])}, '5': {'x': 0.01661455884902918, 'y': 0.02247196264317158, 'z': 0.19174291110439365, 'roll': 126.43524528146443, 'pitch': 41.110199888713545, 'yaw': -40.89747692900689, 'norm': 0.1937688742537649, 'rvec': array([-3.25612277,  0.55839504,  1.71291434])}},AR-move:straight-right,Color-Approach:True,Color-data:x328y:348Area:1264.0,Color-move:stop,Done-Approach:False,Done-Connect:False
13938,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0011111111111111111,ay:-0.0011111111111111111,az:0.0011111111111111111,q:   0.0,Camera:8,rV:     0,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': -0.007743559577134519, 'y': 0.023554947867397487, 'z': 0.19441143557109808, 'roll': -152.86464732638586, 'pitch': 44.772862104154235, 'yaw': 14.229468125969824, 'norm': 0.19598623565132237, 'rvec': array([-2.56648538, -0.06443096,  1.12052337])}, '5': {'x': 0.016602731509958432, 'y': 0.022346446630576135, 'z': 0.19031278597890988, 'roll': -149.46737300533871, 'pitch': -39.85282583406004, 'yaw': -26.10747775639674, 'norm': 0.1923381680209607, 'rvec': array([-2.57233284,  0.33422671, -1.07073235])}},AR-move:straight-right,Color-Approach:True,Color-data:x328y:348Area:1264.0,Color-move:stop,Done-Approach:False,Done-Connect:False
14966,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0011111111111111111,ay:0.0022222222222222222,az:   0.0,q:   0.0,Camera:9,rV:     0,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': -0.007799789083154351, 'y': 0.023582989470924267, 'z': 0.19511028439583797, 'roll': -151.7384986848573, 'pitch': 43.88728453653146, 'yaw': 15.152476505746892, 'norm': 0.1966850710632411, 'rvec': array([-2.55816026, -0.0797099 ,  1.10143856])}, '5': {'x': 0.016602731509958432, 'y': 0.022346446630576135, 'z': 0.19031278597890988, 'roll': -149.46737300533871, 'pitch': -39.85282583406004, 'yaw': -26.10747775639674, 'norm': 0.1923381680209607, 'rvec': array([-2.57233284,  0.33422671, -1.07073235])}},AR-move:straight-right,Color-Approach:True,Color-data:x328y:348Area:1264.0,Color-move:stop,Done-Approach:False,Done-Connect:False
16016,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:-0.0022222222222222222,az:-0.0011111111111111111,q:   0.0,Camera:10,rV:     0,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': -0.007799789083154351, 'y': 0.023582989470924267, 'z': 0.19511028439583797, 'roll': -151.7384986848573, 'pitch': 43.88728453653146, 'yaw': 15.152476505746892, 'norm': 0.1966850710632411, 'rvec': array([-2.55816026, -0.0797099 ,  1.10143856])}, '5': {'x': 0.016835688630334723, 'y': 0.022662533115596382, 'z': 0.19300305673489526, 'roll': -149.26828186384395, 'pitch': -40.26050849322001, 'yaw': -25.75437021470432, 'norm': 0.19505694227042084, 'rvec': array([-2.56741816,  0.32093773, -1.07755973])}},AR-move:straight-right,Color-Approach:True,Color-data:x328y:348Area:1264.0,Color-move:stop,Done-Approach:False,Done-Connect:False
17033,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0011111111111111111,ay:0.0022222222222222222,az:   0.0,q:   0.0,Camera:11,rV:     0,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': -0.007789658603220782, 'y': 0.02357959496061845, 'z': 0.19484781705314966, 'roll': -152.45139542534747, 'pitch': 44.08094756712668, 'yaw': 14.666535830016626, 'norm': 0.19642389846971073, 'rvec': array([-2.56604295, -0.07460533,  1.10569112])}, '5': {'x': 0.016661707477222426, 'y': 0.022332849375924915, 'z': 0.19066749753220086, 'roll': -148.6319624154047, 'pitch': -38.86680634530024, 'yaw': -26.82657668408219, 'norm': 0.19269266533134077, 'rvec': array([ 3.20434343, -0.43642056,  1.31405138])}},AR-move:straight-right,Color-Approach:True,Color-data:x328y:348Area:1264.0,Color-move:stop,Done-Approach:False,Done-Connect:False
18039,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:0.0011111111111111111,az:   0.0,q:   0.0,Camera:12,rV:     0,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': -0.007743559577134519, 'y': 0.023554947867397487, 'z': 0.19441143557109808, 'roll': -152.86464732638586, 'pitch': 44.772862104154235, 'yaw': 14.229468125969824, 'norm': 0.19598623565132237, 'rvec': array([-2.56648538, -0.06443096,  1.12052337])}, '5': {'x': 0.016854444840245543, 'y': 0.022717254807695906, 'z': 0.1932226671411787, 'roll': -148.64671576458434, 'pitch': -39.96344520956202, 'yaw': -26.18262215303926, 'norm': 0.19528221904213758, 'rvec': array([-2.55956089,  0.32628359, -1.07228044])}},AR-move:straight-right,Color-Approach:True,Color-data:x328y:348Area:1264.0,Color-move:stop,Done-Approach:False,Done-Connect:False
19078,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:   0.0,az:-0.0022222222222222222,q:   0.0,Camera:13,rV:     0,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': -0.007743559577134519, 'y': 0.023554947867397487, 'z': 0.19441143557109808, 'roll': -152.86464732638586, 'pitch': 44.772862104154235, 'yaw': 14.229468125969824, 'norm': 0.19598623565132237, 'rvec': array([-2.56648538, -0.06443096,  1.12052337])}, '5': {'x': 0.016676251714402922, 'y': 0.022381449581238413, 'z': 0.1908383155129922, 'roll': -148.02461682445175, 'pitch': -38.569456939634826, 'yaw': -27.237532906654963, 'norm': 0.19286858044906124, 'rvec': array([ 3.21213236, -0.44537793,  1.31494208])}},AR-move:straight-right,Color-Approach:True,Color-data:x328y:348Area:1264.0,Color-move:stop,Done-Approach:False,Done-Connect:False
20117,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0011111111111111111,ay:0.0033333333333333335,az:   0.0,q:   0.0,Camera:14,rV:     0,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': -0.007743559577134519, 'y': 0.023554947867397487, 'z': 0.19441143557109808, 'roll': -152.86464732638586, 'pitch': 44.772862104154235, 'yaw': 14.229468125969824, 'norm': 0.19598623565132237, 'rvec': array([-2.56648538, -0.06443096,  1.12052337])}, '5': {'x': 0.016854444840245543, 'y': 0.022717254807695906, 'z': 0.1932226671411787, 'roll': -148.64671576458434, 'pitch': -39.96344520956202, 'yaw': -26.18262215303926, 'norm': 0.19528221904213758, 'rvec': array([-2.55956089,  0.32628359, -1.07228044])}},AR-move:straight-right,Color-Approach:True,Color-data:x328y:348Area:1264.0,Color-move:stop,Done-Approach:False,Done-Connect:False
21147,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0011111111111111111,ay:   0.0,az:0.0011111111111111111,q:   0.0,Camera:15,rV:     0,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': -0.007733109685110031, 'y': 0.023496112904143527, 'z': 0.194151115638857, 'roll': -152.0719998733275, 'pitch': 43.85064389822809, 'yaw': 14.551351774545381, 'norm': 0.19572052526707318, 'rvec': array([-2.56104355, -0.06974952,  1.09812076])}, '5': {'x': 0.016620366450036606, 'y': 0.022399259327199144, 'z': 0.19051941939133765, 'roll': -148.85592902976936, 'pitch': -39.556223279492094, 'yaw': -26.526596846873172, 'norm': 0.19255028580750805, 'rvec': array([-2.56451662,  0.33948176, -1.06546802])}},AR-move:straight-right,Color-Approach:True,Color-data:x328y:348Area:1264.0,Color-move:stop,Done-Approach:False,Done-Connect:False
