5229,state:6,Time:18:48:57,Lat:0.00000000,Lng:0.00000000,ax:-0.0044444444444444444,ay:0.0044444444444444444,az:0.0011111111111111111,q:   0.0,Camera:0,rV:     0,lV:     0,ConnectingState:1,AR-Approach:False,AR-info:{},AR-move:none,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
6231,state:6,Time:18:48:58,Lat:0.00000000,Lng:0.00000000,ax:-0.0022222222222222222,ay:0.005555555555555556,az:0.0011111111111111111,q:   8.0,Camera:1,rV:     0,lV:     0,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': 0.008216709422208819, 'y': 0.03921079472290602, 'z': 0.1383107574916384, 'roll': -150.42286912221047, 'pitch': 22.180893791706485, 'yaw': 17.85515865276998, 'norm': 0.14399606374634585, 'rvec': array([-2.6154027 , -0.27328597,  0.61612402])}},AR-move:none,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
7836,state:6,Time:18:48:58,Lat:0.00000000,Lng:0.00000000,ax:-0.13777777777777778,ay:-0.0011111111111111111,az:-0.0011111111111111111,q:   0.0,Camera:2,rV:   -90,lV:   -90,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': 0.008216709422208819, 'y': 0.03921079472290602, 'z': 0.1383107574916384, 'roll': -150.42286912221047, 'pitch': 22.180893791706485, 'yaw': 17.85515865276998, 'norm': 0.14399606374634585, 'rvec': array([-2.6154027 , -0.27328597,  0.61612402])}},AR-move:back,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
9099,state:6,Time:18:48:58,Lat:0.00000000,Lng:0.00000000,ax:0.14555555555555555,ay:0.0022222222222222222,az:   0.0,q:   8.0,Camera:3,rV:   -90,lV:   -90,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': 0.008212511640141315, 'y': 0.03917252325192494, 'z': 0.13824795782731245, 'roll': -150.59506941192382, 'pitch': 22.675705903141385, 'yaw': 17.49045664665041, 'norm': 0.1439250838762459, 'rvec': array([-2.61754228, -0.26281606,  0.62542659])}},AR-move:back,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
10716,state:6,Time:18:48:58,Lat:0.00000000,Lng:0.00000000,ax:0.14444444444444443,ay:-0.0044444444444444444,az:0.0033333333333333335,q:   8.0,Camera:4,rV:   -90,lV:   -90,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': 0.0082043472592521, 'y': 0.03905810761232018, 'z': 0.1377701481876356, 'roll': -150.11442016891044, 'pitch': 22.243544278365345, 'yaw': 17.736508137839447, 'norm': 0.1434345175187934, 'rvec': array([-2.61014239, -0.26812001,  0.61675903])}},AR-move:back,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
12010,state:6,Time:18:48:58,Lat:0.00000000,Lng:0.00000000,ax:0.14666666666666667,ay:-0.0044444444444444444,az:   0.0,q:   8.0,Camera:5,rV:   -90,lV:   -90,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': 0.0082043472592521, 'y': 0.03905810761232018, 'z': 0.1377701481876356, 'roll': -150.11442016891044, 'pitch': 22.243544278365345, 'yaw': 17.736508137839447, 'norm': 0.1434345175187934, 'rvec': array([-2.61014239, -0.26812001,  0.61675903])}},AR-move:back,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
13609,state:6,Time:18:48:58,Lat:0.00000000,Lng:0.00000000,ax:-0.0022222222222222222,ay:0.0033333333333333335,az:-0.0022222222222222222,q:   8.0,Camera:6,rV:   -90,lV:   -90,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': 0.008085885679672476, 'y': 0.039150487821802187, 'z': 0.1381682142005468, 'roll': -150.54841697311775, 'pitch': 22.61952116437386, 'yaw': 17.50180741959124, 'norm': 0.14383531436777966, 'rvec': array([-2.61684065, -0.26313073,  0.62417927])}},AR-move:back,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
14924,state:6,Time:18:48:58,Lat:0.00000000,Lng:0.00000000,ax:0.0022222222222222222,ay:   0.0,az:0.0011111111111111111,q:   0.0,Camera:7,rV:   -90,lV:   -90,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': 0.008216709422208819, 'y': 0.03921079472290602, 'z': 0.1383107574916384, 'roll': -150.42286912221047, 'pitch': 22.180893791706485, 'yaw': 17.85515865276998, 'norm': 0.14399606374634585, 'rvec': array([-2.6154027 , -0.27328597,  0.61612402])}},AR-move:back,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
15908,state:6,Time:18:48:58,Lat:0.00000000,Lng:0.00000000,ax:0.0022222222222222222,ay:0.0011111111111111111,az:   0.0,q:   0.0,Camera:8,rV:   -90,lV:   -90,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': 0.0082043472592521, 'y': 0.03905810761232018, 'z': 0.1377701481876356, 'roll': -150.11442016891044, 'pitch': 22.243544278365345, 'yaw': 17.736508137839447, 'norm': 0.1434345175187934, 'rvec': array([-2.61014239, -0.26812001,  0.61675903])}},AR-move:back,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
16990,state:6,Time:18:48:58,Lat:0.00000000,Lng:0.00000000,ax:-0.0022222222222222222,ay:   0.0,az:   0.0,q:   8.0,Camera:9,rV:   -90,lV:   -90,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': 0.0082043472592521, 'y': 0.03905810761232018, 'z': 0.1377701481876356, 'roll': -150.11442016891044, 'pitch': 22.243544278365345, 'yaw': 17.736508137839447, 'norm': 0.1434345175187934, 'rvec': array([-2.61014239, -0.26812001,  0.61675903])}},AR-move:back,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
18568,state:6,Time:18:48:58,Lat:0.00000000,Lng:0.00000000,ax:0.14333333333333334,ay:-0.0011111111111111111,az:   0.0,q:   8.0,Camera:10,rV:   -90,lV:   -90,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': 0.0082043472592521, 'y': 0.03905810761232018, 'z': 0.1377701481876356, 'roll': -150.11442016891044, 'pitch': 22.243544278365345, 'yaw': 17.736508137839447, 'norm': 0.1434345175187934, 'rvec': array([-2.61014239, -0.26812001,  0.61675903])}},AR-move:back,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
19780,state:6,Time:18:48:58,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:0.0044444444444444444,az:   0.0,q:   0.0,Camera:11,rV:   -90,lV:   -90,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': 0.0082043472592521, 'y': 0.03905810761232018, 'z': 0.1377701481876356, 'roll': -150.11442016891044, 'pitch': 22.243544278365345, 'yaw': 17.736508137839447, 'norm': 0.1434345175187934, 'rvec': array([-2.61014239, -0.26812001,  0.61675903])}},AR-move:back,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
