5222,state:6,Time:19:15:16,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:0.0033333333333333335,az:-0.0011111111111111111,q:   0.0,Camera:0,rV:     0,lV:     0,ConnectingState:0,AR-Approach:False,AR-info:{},AR-move:none,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
6208,state:6,Time:19:15:17,Lat:0.00000000,Lng:0.00000000,ax:-0.0077777777777777776,ay:0.0044444444444444444,az:0.0011111111111111111,q:359.9375,Camera:1,rV:     0,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'2': {'x': 0.045238613087773515, 'y': 0.032003862956030006, 'z': 0.1733129286120615, 'roll': -145.87924717700855, 'pitch': -40.053025296137676, 'yaw': -17.11582737026847, 'norm': 0.1819564524338259, 'rvec': array([-2.49276408,  0.09469472, -1.0067705 ])}, '11': {'x': 0.015024014140009152, 'y': 0.029837730095995336, 'z': 0.17595359733390267, 'roll': -148.80597426239194, 'pitch': 42.138437734436444, 'yaw': 23.54905411343108, 'norm': 0.17909684406181428, 'rvec': array([-2.54907304, -0.25157379,  1.10557365])}},AR-move:none,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
7777,state:6,Time:19:15:17,Lat:0.00000000,Lng:0.00000000,ax:0.14333333333333334,ay:-0.0022222222222222222,az:   0.0,q:359.9375,Camera:2,rV:    80,lV:    85,ConnectingState:0,AR-Approach:True,AR-info:{'2': {'x': 0.04486248601601335, 'y': 0.03174383577532901, 'z': 0.17177346608254118, 'roll': -146.61799336223814, 'pitch': -40.92265972634258, 'yaw': -16.51786747891597, 'norm': 0.180350873053828, 'rvec': array([-2.49858193,  0.08181451, -1.02437068])}, '11': {'x': 0.0150012114693646, 'y': 0.02976814825557787, 'z': 0.17539068950848824, 'roll': -149.11879652627417, 'pitch': 42.14863450766758, 'yaw': 22.989722424900897, 'norm': 0.17853031384719398, 'rvec': array([-2.55236616, -0.2421372 ,  1.10305129])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
9253,state:6,Time:19:15:17,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:-0.0022222222222222222,az:-0.0011111111111111111,q:359.9375,Camera:3,rV:    80,lV:    85,ConnectingState:0,AR-Approach:True,AR-info:{'2': {'x': 0.045130739359159004, 'y': 0.031959462721979484, 'z': 0.17280278009200062, 'roll': -146.75481355418495, 'pitch': -40.76897116606468, 'yaw': -16.25561131265925, 'norm': 0.18143591623519933, 'rvec': array([-2.50047883,  0.0784753 , -1.01960731])}, '11': {'x': 0.0150012114693646, 'y': 0.02976814825557787, 'z': 0.17539068950848824, 'roll': -149.11879652627417, 'pitch': 42.14863450766758, 'yaw': 22.989722424900897, 'norm': 0.17853031384719398, 'rvec': array([-2.55236616, -0.2421372 ,  1.10305129])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
10228,state:6,Time:19:15:17,Lat:0.00000000,Lng:0.00000000,ax:0.0033333333333333335,ay:-0.0022222222222222222,az:0.0011111111111111111,q:359.9375,Camera:4,rV:    80,lV:    85,ConnectingState:0,AR-Approach:True,AR-info:{'2': {'x': 0.04486248601601335, 'y': 0.03174383577532901, 'z': 0.17177346608254118, 'roll': -146.61799336223814, 'pitch': -40.92265972634258, 'yaw': -16.51786747891597, 'norm': 0.180350873053828, 'rvec': array([-2.49858193,  0.08181451, -1.02437068])}, '11': {'x': 0.0150012114693646, 'y': 0.02976814825557787, 'z': 0.17539068950848824, 'roll': -149.11879652627417, 'pitch': 42.14863450766758, 'yaw': 22.989722424900897, 'norm': 0.17853031384719398, 'rvec': array([-2.55236616, -0.2421372 ,  1.10305129])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
11225,state:6,Time:19:15:17,Lat:0.00000000,Lng:0.00000000,ax:-0.0022222222222222222,ay:-0.0011111111111111111,az:0.0011111111111111111,q:367.9375,Camera:5,rV:    80,lV:    85,ConnectingState:0,AR-Approach:True,AR-info:{'2': {'x': 0.04486248601601335, 'y': 0.03174383577532901, 'z': 0.17177346608254118, 'roll': -146.61799336223814, 'pitch': -40.92265972634258, 'yaw': -16.51786747891597, 'norm': 0.180350873053828, 'rvec': array([-2.49858193,  0.08181451, -1.02437068])}, '11': {'x': 0.0150012114693646, 'y': 0.02976814825557787, 'z': 0.17539068950848824, 'roll': -149.11879652627417, 'pitch': 42.14863450766758, 'yaw': 22.989722424900897, 'norm': 0.17853031384719398, 'rvec': array([-2.55236616, -0.2421372 ,  1.10305129])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
12784,state:6,Time:19:15:17,Lat:0.00000000,Lng:0.00000000,ax:0.14666666666666667,ay:   0.0,az:   0.0,q:367.9375,Camera:6,rV:    80,lV:    85,ConnectingState:0,AR-Approach:True,AR-info:{'2': {'x': 0.045130739359159004, 'y': 0.031959462721979484, 'z': 0.17280278009200062, 'roll': -146.75481355418495, 'pitch': -40.76897116606468, 'yaw': -16.25561131265925, 'norm': 0.18143591623519933, 'rvec': array([-2.50047883,  0.0784753 , -1.01960731])}, '11': {'x': 0.0150012114693646, 'y': 0.02976814825557787, 'z': 0.17539068950848824, 'roll': -149.11879652627417, 'pitch': 42.14863450766758, 'yaw': 22.989722424900897, 'norm': 0.17853031384719398, 'rvec': array([-2.55236616, -0.2421372 ,  1.10305129])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
14227,state:6,Time:19:15:17,Lat:0.00000000,Lng:0.00000000,ax:0.14444444444444443,ay:-0.0011111111111111111,az:-0.0011111111111111111,q:   8.0,Camera:7,rV:    80,lV:    85,ConnectingState:0,AR-Approach:True,AR-info:{'2': {'x': 0.0448307145632349, 'y': 0.031571752865507376, 'z': 0.17164981350249334, 'roll': -145.47390961453632, 'pitch': -40.006918391736626, 'yaw': -17.298066888992782, 'norm': 0.18019496947110278, 'rvec': array([-2.48717851,  0.0953184 , -1.00569142])}, '11': {'x': 0.014996919403056686, 'y': 0.02952638975961605, 'z': 0.1753250842871747, 'roll': -148.374586182921, 'pitch': 41.94729773361019, 'yaw': 23.444993393832114, 'norm': 0.17842533582460604, 'rvec': array([-2.54291411, -0.24603923,  1.09946117])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
15841,state:6,Time:19:15:17,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:   0.0,az:   0.0,q:   8.0,Camera:8,rV:    80,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'2': {'x': 0.04384380725366381, 'y': 0.03503361734295838, 'z': 0.16177518185492185, 'roll': -145.1600324256554, 'pitch': -39.5964478455369, 'yaw': -16.9993775982488, 'norm': 0.17123330062468076, 'rvec': array([-2.48289366,  0.08910761, -0.99346449])}, '11': {'x': 0.013848828521203364, 'y': 0.032785884016092, 'z': 0.16430603674989508, 'roll': -148.75285619769707, 'pitch': 43.32369300409327, 'yaw': 23.290199331544578, 'norm': 0.16811656061966115, 'rvec': array([-2.54300061, -0.23623085,  1.13070033])}},AR-move:straight-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
17249,state:6,Time:19:15:17,Lat:0.00000000,Lng:0.00000000,ax:0.14222222222222222,ay:0.0011111111111111111,az:-0.0011111111111111111,q:   8.0,Camera:9,rV:    80,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'2': {'x': 0.04363822035186022, 'y': 0.034869184331403826, 'z': 0.1610165939548951, 'roll': -144.58991483753474, 'pitch': -39.594760527382746, 'yaw': -17.609478583767874, 'norm': 0.17043033128011717, 'rvec': array([-2.47590352,  0.09724755, -0.99595219])}, '11': {'x': 0.013820494118499841, 'y': 0.03272839188906659, 'z': 0.16425201079610832, 'roll': -147.82573527594204, 'pitch': 42.53965450085634, 'yaw': 23.94877688491132, 'norm': 0.16805022089806573, 'rvec': array([-2.53365211, -0.24703985,  1.11472178])}},AR-move:straight-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
18837,state:6,Time:19:15:17,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:0.0011111111111111111,az:   0.0,q:   8.0,Camera:10,rV:    80,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'2': {'x': 0.04370564141210731, 'y': 0.03488093206795053, 'z': 0.16117840153261717, 'roll': -144.3107083711068, 'pitch': -39.12200728237178, 'yaw': -17.987284433206447, 'norm': 0.17060287111822667, 'rvec': array([-2.47449859,  0.10666314, -0.98743444])}, '11': {'x': 0.013820494118499841, 'y': 0.03272839188906659, 'z': 0.16425201079610832, 'roll': -147.82573527594204, 'pitch': 42.53965450085634, 'yaw': 23.94877688491132, 'norm': 0.16805022089806573, 'rvec': array([-2.53365211, -0.24703985,  1.11472178])}},AR-move:straight-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
20657,state:6,Time:19:15:17,Lat:0.00000000,Lng:0.00000000,ax:0.14444444444444443,ay:   0.0,az:-0.0011111111111111111,q:   8.0,Camera:11,rV:    80,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'2': {'x': 0.04618209340322248, 'y': 0.0359682643438182, 'z': 0.1611567379922258, 'roll': -146.30241005017166, 'pitch': -37.094541768147906, 'yaw': -15.839632517791603, 'norm': 0.17145843808721012, 'rvec': array([-2.50717925,  0.09272064, -0.93362238])}, '11': {'x': 0.01611663539066487, 'y': 0.0330731530881578, 'z': 0.16521153760008703, 'roll': -146.55683954428622, 'pitch': 44.6165487687621, 'yaw': 25.818614166060335, 'norm': 0.16925847555644982, 'rvec': array([-2.51180833, -0.2587837 ,  1.17048047])}},AR-move:straight-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
