5217,state:3,Time:09:28:18,Lat:0.00000000,Lng:0.00000000,ax:-0.03111111111111111,ay:0.05555555555555555,az:0.017777777777777778,q:   0.0,Camera:0,rV:     0,lV:     0,Color-Approach:False,Color-data: x:0y:0Area:0,Color-move:none,gx:   0.0,gy:   0.0,gz:   0.0,mirrer-detection:False
5606,state:3,Time:09:28:19,Lat:0.00000000,Lng:0.00000000,ax:-0.028888888888888888,ay:0.015555555555555555,az:-0.0033333333333333335,q:195.375,Camera:1,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.47,gy: -3.83,gz: -9.01,mirrer-detection:False
5991,state:3,Time:09:28:19,Lat:0.00000000,Lng:0.00000000,ax: -0.02,ay:-0.20666666666666667,az:  0.03,q:194.5625,Camera:2,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.58,gy: -4.23,gz: -8.82,mirrer-detection:False
6376,state:3,Time:09:28:20,Lat:0.00000000,Lng:0.00000000,ax:-0.011111111111111112,ay:-0.22111111111111112,az:0.0044444444444444444,q:194.375,Camera:3,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.45,gy: -3.96,gz: -8.95,mirrer-detection:False
6762,state:3,Time:09:28:20,Lat:0.00000000,Lng:0.00000000,ax:-0.024444444444444446,ay:-0.13444444444444445,az:0.008888888888888889,q:194.3125,Camera:4,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.45,gy: -3.89,gz: -8.98,mirrer-detection:False
7147,state:3,Time:09:28:20,Lat:0.00000000,Lng:0.00000000,ax:-0.016666666666666666,ay:-0.14777777777777779,az:-0.013333333333333334,q:194.1875,Camera:5,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.45,gy: -3.87,gz: -8.99,mirrer-detection:False
7538,state:3,Time:09:28:21,Lat:0.00000000,Lng:0.00000000,ax:-0.03888888888888889,ay: -0.05,az:0.0077777777777777776,q:194.25,Camera:6,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.44,gy: -3.83,gz: -9.01,mirrer-detection:False
7926,state:3,Time:09:28:21,Lat:0.00000000,Lng:0.00000000,ax:0.025555555555555557,ay:0.011111111111111112,az: -0.01,q:194.25,Camera:7,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.43,gy: -3.78,gz: -9.03,mirrer-detection:False
8314,state:3,Time:09:28:21,Lat:0.00000000,Lng:0.00000000,ax:0.10222222222222223,ay:0.025555555555555557,az:-0.006666666666666667,q:193.9375,Camera:8,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.49,gy: -3.66,gz: -9.08,mirrer-detection:False
8700,state:3,Time:09:28:22,Lat:0.00000000,Lng:0.00000000,ax:-0.011111111111111112,ay:-0.005555555555555556,az:-0.015555555555555555,q:193.9375,Camera:9,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.47,gy: -3.67,gz: -9.08,mirrer-detection:False
9088,state:3,Time:09:28:22,Lat:0.00000000,Lng:0.00000000,ax:0.023333333333333334,ay:0.03111111111111111,az:0.03111111111111111,q:193.875,Camera:10,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.49,gy: -3.67,gz: -9.07,mirrer-detection:False
