5222,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0077777777777777776,ay:   0.0,az:-0.0022222222222222222,q:   0.0,Camera:0,rV:     0,lV:     0,ConnectingState:0,AR-Approach:False,AR-info:{},AR-move:none,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
5680,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0033333333333333335,ay:0.0011111111111111111,az:-0.0022222222222222222,q:   0.0,Camera:1,rV:     0,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'1': {'x': 0.010032983095392021, 'y': -0.0264530272444057, 'z': 0.14259118861464934, 'roll': -151.24366310499616, 'pitch': -2.194990232649225, 'yaw': -4.515448710476665, 'norm': 0.14537080336410127, 'rvec': array([-2.63900133,  0.0910653 , -0.07721249])}, '11': {'x': 0.00866436715192519, 'y': 0.007107065343584262, 'z': 0.1340509638840547, 'roll': -149.39350711244947, 'pitch': 7.9052028614824374, 'yaw': 3.6391568673414754, 'norm': 0.1345185584006366, 'rvec': array([-2.60528504, -0.03348829,  0.20253908])}, '16': {'x': 0.024022937012137348, 'y': -0.0008234839928365266, 'z': 0.13497537238851942, 'roll': 160.20546184508208, 'pitch': -59.38868372271513, 'yaw': -67.14785607152255, 'norm': 0.13709898168839574, 'rvec': array([ 1.68907308, -1.380328  ,  0.82187698])}},AR-move:none,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
6115,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:-0.0044444444444444444,az:0.0011111111111111111,q:   0.0,Camera:2,rV:     0,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'1': {'x': 0.010076839744581388, 'y': -0.026489275556134735, 'z': 0.14288409137061486, 'roll': -152.37902348403318, 'pitch': -2.8166770353324315, 'yaw': -4.911303047825818, 'norm': 0.1456677314491203, 'rvec': array([-2.65878042,  0.09792945, -0.09337105])}, '11': {'x': 0.00866436715192519, 'y': 0.007107065343584262, 'z': 0.1340509638840547, 'roll': -149.39350711244947, 'pitch': 7.9052028614824374, 'yaw': 3.6391568673414754, 'norm': 0.1345185584006366, 'rvec': array([-2.60528504, -0.03348829,  0.20253908])}, '16': {'x': 0.024022937012137348, 'y': -0.0008234839928365266, 'z': 0.13497537238851942, 'roll': 160.20546184508208, 'pitch': -59.38868372271513, 'yaw': -67.14785607152255, 'norm': 0.13709898168839574, 'rvec': array([ 1.68907308, -1.380328  ,  0.82187698])}},AR-move:none,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
6558,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0033333333333333335,ay:   0.0,az:   0.0,q:   0.0,Camera:3,rV:     0,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'1': {'x': 0.010109010363965778, 'y': -0.02666778950449368, 'z': 0.14392682492121553, 'roll': -154.57300062473732, 'pitch': -3.227929667925785, 'yaw': -4.771482281333218, 'norm': 0.14672523307017432, 'rvec': array([-2.69714126,  0.09520088, -0.10132083])}, '11': {'x': 0.008715749857579983, 'y': 0.007151143785079103, 'z': 0.13453669648653452, 'roll': -150.10350880940317, 'pitch': 8.070375143930907, 'yaw': 3.408338233915653, 'norm': 0.13500824365395134, 'rvec': array([-2.61734721, -0.02856075,  0.20531332])}, '16': {'x': 0.024022937012137348, 'y': -0.0008234839928365266, 'z': 0.13497537238851942, 'roll': 160.20546184508208, 'pitch': -59.38868372271513, 'yaw': -67.14785607152255, 'norm': 0.13709898168839574, 'rvec': array([ 1.68907308, -1.380328  ,  0.82187698])}},AR-move:none,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
6990,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0044444444444444444,ay:-0.0044444444444444444,az:-0.0011111111111111111,q:   0.0,Camera:4,rV:     0,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'1': {'x': 0.010065731210388233, 'y': -0.02638436022416884, 'z': 0.14245004295097438, 'roll': -151.04479143623095, 'pitch': -2.3927357920856003, 'yaw': -4.592809366060804, 'norm': 0.14522213380188617, 'rvec': array([-2.63555838,  0.09145819, -0.08231118])}, '11': {'x': 0.00866436715192519, 'y': 0.007107065343584262, 'z': 0.1340509638840547, 'roll': -149.39350711244947, 'pitch': 7.9052028614824374, 'yaw': 3.6391568673414754, 'norm': 0.1345185584006366, 'rvec': array([-2.60528504, -0.03348829,  0.20253908])}, '16': {'x': 0.024022937012137348, 'y': -0.0008234839928365266, 'z': 0.13497537238851942, 'roll': 160.20546184508208, 'pitch': -59.38868372271513, 'yaw': -67.14785607152255, 'norm': 0.13709898168839574, 'rvec': array([ 1.68907308, -1.380328  ,  0.82187698])}},AR-move:none,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
7465,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0077777777777777776,ay:-0.0011111111111111111,az:-0.0022222222222222222,q:   0.0,Camera:5,rV:   -90,lV:   -90,ConnectingState:0,AR-Approach:True,AR-info:{'1': {'x': 0.010036347939156188, 'y': -0.026451840470931628, 'z': 0.14290836953698793, 'roll': -152.33825192579553, 'pitch': -3.0114004470189104, 'yaw': -4.463525407055637, 'norm': 0.1456819488748545, 'rvec': array([-2.65828192,  0.08637229, -0.09535516])}, '11': {'x': 0.008715749857579983, 'y': 0.007151143785079103, 'z': 0.13453669648653452, 'roll': -150.10350880940317, 'pitch': 8.070375143930907, 'yaw': 3.408338233915653, 'norm': 0.13500824365395134, 'rvec': array([-2.61734721, -0.02856075,  0.20531332])}, '16': {'x': 0.024022937012137348, 'y': -0.0008234839928365266, 'z': 0.13497537238851942, 'roll': 160.20546184508208, 'pitch': -59.38868372271513, 'yaw': -67.14785607152255, 'norm': 0.13709898168839574, 'rvec': array([ 1.68907308, -1.380328  ,  0.82187698])}},AR-move:back,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
7893,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0011111111111111111,ay:0.0011111111111111111,az:-0.0022222222222222222,q:   0.0,Camera:6,rV:   -90,lV:   -90,ConnectingState:0,AR-Approach:True,AR-info:{'1': {'x': 0.010193574457550135, 'y': -0.026707155125969443, 'z': 0.14391204180116451, 'roll': -154.6217587919535, 'pitch': -3.482478001338055, 'yaw': -4.8509453226887835, 'norm': 0.14672374337687932, 'rvec': array([-2.6979933 ,  0.09578602, -0.10771853])}, '11': {'x': 0.00866436715192519, 'y': 0.007107065343584262, 'z': 0.1340509638840547, 'roll': -149.39350711244947, 'pitch': 7.9052028614824374, 'yaw': 3.6391568673414754, 'norm': 0.1345185584006366, 'rvec': array([-2.60528504, -0.03348829,  0.20253908])}, '16': {'x': 0.024022937012137348, 'y': -0.0008234839928365266, 'z': 0.13497537238851942, 'roll': 160.20546184508208, 'pitch': -59.38868372271513, 'yaw': -67.14785607152255, 'norm': 0.13709898168839574, 'rvec': array([ 1.68907308, -1.380328  ,  0.82187698])}},AR-move:back,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
8340,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0033333333333333335,ay:0.0011111111111111111,az:-0.0011111111111111111,q:   0.0,Camera:7,rV:   -90,lV:   -90,ConnectingState:0,AR-Approach:True,AR-info:{'1': {'x': 0.010193574457550135, 'y': -0.026707155125969443, 'z': 0.14391204180116451, 'roll': -154.6217587919535, 'pitch': -3.482478001338055, 'yaw': -4.8509453226887835, 'norm': 0.14672374337687932, 'rvec': array([-2.6979933 ,  0.09578602, -0.10771853])}, '11': {'x': 0.00866436715192519, 'y': 0.007107065343584262, 'z': 0.1340509638840547, 'roll': -149.39350711244947, 'pitch': 7.9052028614824374, 'yaw': 3.6391568673414754, 'norm': 0.1345185584006366, 'rvec': array([-2.60528504, -0.03348829,  0.20253908])}, '16': {'x': 0.024022937012137348, 'y': -0.0008234839928365266, 'z': 0.13497537238851942, 'roll': 160.20546184508208, 'pitch': -59.38868372271513, 'yaw': -67.14785607152255, 'norm': 0.13709898168839574, 'rvec': array([ 1.68907308, -1.380328  ,  0.82187698])}},AR-move:back,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
8766,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:-0.0011111111111111111,az:   0.0,q:   0.0,Camera:8,rV:   -90,lV:   -90,ConnectingState:0,AR-Approach:True,AR-info:{'1': {'x': 0.010101334562979316, 'y': -0.026571518753296122, 'z': 0.1435420008796452, 'roll': -153.1427604162738, 'pitch': -2.68432515751833, 'yaw': -4.432859292287563, 'norm': 0.14632972556983107, 'rvec': array([-2.67225699,  0.08845728, -0.08728454])}, '11': {'x': 0.008715749857579983, 'y': 0.007151143785079103, 'z': 0.13453669648653452, 'roll': -150.10350880940317, 'pitch': 8.070375143930907, 'yaw': 3.408338233915653, 'norm': 0.13500824365395134, 'rvec': array([-2.61734721, -0.02856075,  0.20531332])}, '16': {'x': 0.024022937012137348, 'y': -0.0008234839928365266, 'z': 0.13497537238851942, 'roll': 160.20546184508208, 'pitch': -59.38868372271513, 'yaw': -67.14785607152255, 'norm': 0.13709898168839574, 'rvec': array([ 1.68907308, -1.380328  ,  0.82187698])}},AR-move:back,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
9220,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:-0.0011111111111111111,az:-0.0011111111111111111,q:   0.0,Camera:9,rV:   -90,lV:   -90,ConnectingState:0,AR-Approach:True,AR-info:{'1': {'x': 0.010101334562979316, 'y': -0.026571518753296122, 'z': 0.1435420008796452, 'roll': -153.1427604162738, 'pitch': -2.68432515751833, 'yaw': -4.432859292287563, 'norm': 0.14632972556983107, 'rvec': array([-2.67225699,  0.08845728, -0.08728454])}, '11': {'x': 0.008715749857579983, 'y': 0.007151143785079103, 'z': 0.13453669648653452, 'roll': -150.10350880940317, 'pitch': 8.070375143930907, 'yaw': 3.408338233915653, 'norm': 0.13500824365395134, 'rvec': array([-2.61734721, -0.02856075,  0.20531332])}, '16': {'x': 0.024022937012137348, 'y': -0.0008234839928365266, 'z': 0.13497537238851942, 'roll': 160.20546184508208, 'pitch': -59.38868372271513, 'yaw': -67.14785607152255, 'norm': 0.13709898168839574, 'rvec': array([ 1.68907308, -1.380328  ,  0.82187698])}},AR-move:back,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
9709,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:-0.0011111111111111111,az:0.0022222222222222222,q:   0.0,Camera:10,rV:   -90,lV:   -90,ConnectingState:0,AR-Approach:True,AR-info:{'1': {'x': 0.010101334562979316, 'y': -0.026571518753296122, 'z': 0.1435420008796452, 'roll': -153.1427604162738, 'pitch': -2.68432515751833, 'yaw': -4.432859292287563, 'norm': 0.14632972556983107, 'rvec': array([-2.67225699,  0.08845728, -0.08728454])}, '11': {'x': 0.008715749857579983, 'y': 0.007151143785079103, 'z': 0.13453669648653452, 'roll': -150.10350880940317, 'pitch': 8.070375143930907, 'yaw': 3.408338233915653, 'norm': 0.13500824365395134, 'rvec': array([-2.61734721, -0.02856075,  0.20531332])}, '16': {'x': 0.024022937012137348, 'y': -0.0008234839928365266, 'z': 0.13497537238851942, 'roll': 160.20546184508208, 'pitch': -59.38868372271513, 'yaw': -67.14785607152255, 'norm': 0.13709898168839574, 'rvec': array([ 1.68907308, -1.380328  ,  0.82187698])}},AR-move:back,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
10136,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:0.0011111111111111111,az:0.0011111111111111111,q:   0.0,Camera:11,rV:   -90,lV:   -90,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.00866436715192519, 'y': 0.007107065343584262, 'z': 0.1340509638840547, 'roll': -149.39350711244947, 'pitch': 7.9052028614824374, 'yaw': 3.6391568673414754, 'norm': 0.1345185584006366, 'rvec': array([-2.60528504, -0.03348829,  0.20253908])}, '16': {'x': 0.024022937012137348, 'y': -0.0008234839928365266, 'z': 0.13497537238851942, 'roll': 160.20546184508208, 'pitch': -59.38868372271513, 'yaw': -67.14785607152255, 'norm': 0.13709898168839574, 'rvec': array([ 1.68907308, -1.380328  ,  0.82187698])}},AR-move:back,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
