5177,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.006666666666666667,ay:-0.0011111111111111111,az:-0.0033333333333333335,q:   0.0,Camera:0,rV:     0,lV:     0,ConnectingState:0,AR-Approach:False,AR-info:{},AR-move:none,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
5676,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0011111111111111111,ay:-0.0033333333333333335,az:-0.0022222222222222222,q:359.9375,Camera:1,rV:     0,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.010510660204835104, 'y': 0.006786650346330854, 'z': 0.13249941855568526, 'roll': -150.97133021980864, 'pitch': -4.362388573959044, 'yaw': -3.5227787800505643, 'norm': 0.1330887993726727, 'rvec': array([-2.63454157,  0.05502281, -0.1212801 ])}, '16': {'x': 0.024432727904224447, 'y': -0.0028747104566365354, 'z': 0.13887433023554713, 'roll': -175.13924738063926, 'pitch': -61.97181114592043, 'yaw': -96.41335764084005, 'norm': 0.14103652630231348, 'rvec': array([ 1.51402717, -1.60926778,  0.95390147])}},AR-move:none,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
6104,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:-0.0011111111111111111,az:-0.0011111111111111111,q:359.9375,Camera:2,rV:     0,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.010569053532339803, 'y': 0.006789525503330042, 'z': 0.13297722040142604, 'roll': -151.74375300427087, 'pitch': -4.7122258201168945, 'yaw': -3.296104498892666, 'norm': 0.1335692468153477, 'rvec': array([-2.64788158,  0.04874743, -0.12808523])}, '16': {'x': 0.024432727904224447, 'y': -0.0028747104566365354, 'z': 0.13887433023554713, 'roll': -175.13924738063926, 'pitch': -61.97181114592043, 'yaw': -96.41335764084005, 'norm': 0.14103652630231348, 'rvec': array([ 1.51402717, -1.60926778,  0.95390147])}},AR-move:none,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
6532,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0022222222222222222,ay:-0.0011111111111111111,az:   0.0,q:359.9375,Camera:3,rV:     0,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.010569053532339803, 'y': 0.006789525503330042, 'z': 0.13297722040142604, 'roll': -151.74375300427087, 'pitch': -4.7122258201168945, 'yaw': -3.296104498892666, 'norm': 0.1335692468153477, 'rvec': array([-2.64788158,  0.04874743, -0.12808523])}, '16': {'x': 0.024432727904224447, 'y': -0.0028747104566365354, 'z': 0.13887433023554713, 'roll': -175.13924738063926, 'pitch': -61.97181114592043, 'yaw': -96.41335764084005, 'norm': 0.14103652630231348, 'rvec': array([ 1.51402717, -1.60926778,  0.95390147])}},AR-move:none,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
6984,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0022222222222222222,ay:0.0011111111111111111,az:-0.0011111111111111111,q:359.9375,Camera:4,rV:     0,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.010572743085887, 'y': 0.0068030396951314995, 'z': 0.13325483251474082, 'roll': -151.88782269380377, 'pitch': -5.251572241350534, 'yaw': -3.2834778372858104, 'norm': 0.13384660860098524, 'rvec': array([-2.6501855 ,  0.04551397, -0.14051078])}, '16': {'x': 0.0245563101916017, 'y': -0.0029074715170473737, 'z': 0.13945653659143023, 'roll': -175.3321224503069, 'pitch': -61.60341686653623, 'yaw': -96.00499819457731, 'norm': 0.14163188680140332, 'rvec': array([ 1.52259056, -1.61069127,  0.95097014])}},AR-move:none,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
7447,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:-0.0033333333333333335,az:   0.0,q:359.9375,Camera:5,rV:    80,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.010569053532339803, 'y': 0.006789525503330042, 'z': 0.13297722040142604, 'roll': -151.74375300427087, 'pitch': -4.7122258201168945, 'yaw': -3.296104498892666, 'norm': 0.1335692468153477, 'rvec': array([-2.64788158,  0.04874743, -0.12808523])}, '16': {'x': 0.02442321784344394, 'y': -0.0028946265687622486, 'z': 0.13881765240075047, 'roll': -174.87920053299715, 'pitch': -61.70970220752176, 'yaw': -96.40412575463193, 'norm': 0.14097947741021202, 'rvec': array([ 1.52018326, -1.61158819,  0.95566354])}},AR-move:straight-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
7895,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0022222222222222222,ay:0.0011111111111111111,az:   0.0,q:359.9375,Camera:6,rV:    80,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.010572743085887, 'y': 0.0068030396951314995, 'z': 0.13325483251474082, 'roll': -151.88782269380377, 'pitch': -5.251572241350534, 'yaw': -3.2834778372858104, 'norm': 0.13384660860098524, 'rvec': array([-2.6501855 ,  0.04551397, -0.14051078])}, '16': {'x': 0.02442321784344394, 'y': -0.0028946265687622486, 'z': 0.13881765240075047, 'roll': -174.87920053299715, 'pitch': -61.70970220752176, 'yaw': -96.40412575463193, 'norm': 0.14097947741021202, 'rvec': array([ 1.52018326, -1.61158819,  0.95566354])}},AR-move:straight-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
8339,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0022222222222222222,ay:0.0022222222222222222,az:   0.0,q:359.9375,Camera:7,rV:    80,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.010569053532339803, 'y': 0.006789525503330042, 'z': 0.13297722040142604, 'roll': -151.74375300427087, 'pitch': -4.7122258201168945, 'yaw': -3.296104498892666, 'norm': 0.1335692468153477, 'rvec': array([-2.64788158,  0.04874743, -0.12808523])}, '16': {'x': 0.024432727904224447, 'y': -0.0028747104566365354, 'z': 0.13887433023554713, 'roll': -175.13924738063926, 'pitch': -61.97181114592043, 'yaw': -96.41335764084005, 'norm': 0.14103652630231348, 'rvec': array([ 1.51402717, -1.60926778,  0.95390147])}},AR-move:straight-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
8780,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.005555555555555556,ay:   0.0,az:-0.0033333333333333335,q:359.9375,Camera:8,rV:    80,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.010569053532339803, 'y': 0.006789525503330042, 'z': 0.13297722040142604, 'roll': -151.74375300427087, 'pitch': -4.7122258201168945, 'yaw': -3.296104498892666, 'norm': 0.1335692468153477, 'rvec': array([-2.64788158,  0.04874743, -0.12808523])}, '16': {'x': 0.0245563101916017, 'y': -0.0029074715170473737, 'z': 0.13945653659143023, 'roll': -175.3321224503069, 'pitch': -61.60341686653623, 'yaw': -96.00499819457731, 'norm': 0.14163188680140332, 'rvec': array([ 1.52259056, -1.61069127,  0.95097014])}},AR-move:straight-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
9224,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0022222222222222222,ay:0.0011111111111111111,az:   0.0,q:359.9375,Camera:9,rV:    80,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.010572743085887, 'y': 0.0068030396951314995, 'z': 0.13325483251474082, 'roll': -151.88782269380377, 'pitch': -5.251572241350534, 'yaw': -3.2834778372858104, 'norm': 0.13384660860098524, 'rvec': array([-2.6501855 ,  0.04551397, -0.14051078])}, '16': {'x': 0.0245563101916017, 'y': -0.0029074715170473737, 'z': 0.13945653659143023, 'roll': -175.3321224503069, 'pitch': -61.60341686653623, 'yaw': -96.00499819457731, 'norm': 0.14163188680140332, 'rvec': array([ 1.52259056, -1.61069127,  0.95097014])}},AR-move:straight-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
9687,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0022222222222222222,ay:0.0022222222222222222,az:0.0022222222222222222,q:359.9375,Camera:10,rV:    80,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.010510660204835104, 'y': 0.006786650346330854, 'z': 0.13249941855568526, 'roll': -150.97133021980864, 'pitch': -4.362388573959044, 'yaw': -3.5227787800505643, 'norm': 0.1330887993726727, 'rvec': array([-2.63454157,  0.05502281, -0.1212801 ])}, '16': {'x': 0.024475699870619243, 'y': -0.0028818956602229195, 'z': 0.13923210208022177, 'roll': -174.49085718073744, 'pitch': -61.86632746549629, 'yaw': -96.99409588937739, 'norm': 0.1413964053872316, 'rvec': array([ 1.51331233, -1.61408007,  0.9579611 ])}},AR-move:straight-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
10107,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0022222222222222222,ay:-0.0011111111111111111,az:0.0011111111111111111,q:359.9375,Camera:11,rV:    80,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.010569053532339803, 'y': 0.006789525503330042, 'z': 0.13297722040142604, 'roll': -151.74375300427087, 'pitch': -4.7122258201168945, 'yaw': -3.296104498892666, 'norm': 0.1335692468153477, 'rvec': array([-2.64788158,  0.04874743, -0.12808523])}, '16': {'x': 0.02465689072259432, 'y': -0.002916635741798304, 'z': 0.13990843897715108, 'roll': -174.7072949836631, 'pitch': -61.47053694581652, 'yaw': -96.56248939749717, 'norm': 0.14209447674409975, 'rvec': array([ 1.52227964, -1.61580095,  0.95462386])}},AR-move:straight-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
10558,state:6,Time:0,Lat:     0,Lng:     0,ax:0.011111111111111112,ay:   0.0,az:0.0022222222222222222,q:359.9375,Camera:12,rV:    80,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.010572743085887, 'y': 0.0068030396951314995, 'z': 0.13325483251474082, 'roll': -151.88782269380377, 'pitch': -5.251572241350534, 'yaw': -3.2834778372858104, 'norm': 0.13384660860098524, 'rvec': array([-2.6501855 ,  0.04551397, -0.14051078])}, '16': {'x': 0.0245563101916017, 'y': -0.0029074715170473737, 'z': 0.13945653659143023, 'roll': -175.3321224503069, 'pitch': -61.60341686653623, 'yaw': -96.00499819457731, 'norm': 0.14163188680140332, 'rvec': array([ 1.52259056, -1.61069127,  0.95097014])}},AR-move:straight-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
10987,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:-0.0011111111111111111,az:-0.0011111111111111111,q:359.9375,Camera:13,rV:    80,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.010572743085887, 'y': 0.0068030396951314995, 'z': 0.13325483251474082, 'roll': -151.88782269380377, 'pitch': -5.251572241350534, 'yaw': -3.2834778372858104, 'norm': 0.13384660860098524, 'rvec': array([-2.6501855 ,  0.04551397, -0.14051078])}, '16': {'x': 0.02465689072259432, 'y': -0.002916635741798304, 'z': 0.13990843897715108, 'roll': -174.7072949836631, 'pitch': -61.47053694581652, 'yaw': -96.56248939749717, 'norm': 0.14209447674409975, 'rvec': array([ 1.52227964, -1.61580095,  0.95462386])}},AR-move:straight-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
