5244,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0011111111111111111,ay:-0.0011111111111111111,az:0.0022222222222222222,q:   0.0,Camera:0,rV:     0,lV:     0,ConnectingState:0,AR-Approach:False,AR-info:{},AR-move:none,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
5712,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.015555555555555555,ay:-0.0033333333333333335,az:-0.0011111111111111111,q:359.9375,Camera:1,rV:     0,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.010412988964373739, 'y': 0.006903263858186027, 'z': 0.1332351947320498, 'roll': -150.62103717836058, 'pitch': -5.284492650353765, 'yaw': -3.510186183578333, 'norm': 0.13381966412435484, 'rvec': array([-2.62815629,  0.04871829, -0.1423442 ])}, '16': {'x': 0.02426529627062761, 'y': -0.002819918861774257, 'z': 0.13919271198965646, 'roll': -174.0538823186703, 'pitch': -61.61063329574756, 'yaw': -97.14132641585492, 'norm': 0.14132008921778877, 'rvec': array([ 1.51885824, -1.61724804,  0.96126656])}},AR-move:none,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
6144,state:6,Time:0,Lat:     0,Lng:     0,ax:0.005555555555555556,ay:-0.0044444444444444444,az:-0.0011111111111111111,q:359.9375,Camera:2,rV:     0,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.010439642258623904, 'y': 0.006942792492988455, 'z': 0.13406319394752056, 'roll': -152.02228349990872, 'pitch': -5.793608991498961, 'yaw': -3.498371966958568, 'norm': 0.13464816548879996, 'rvec': array([-2.65233051,  0.04754468, -0.15433197])}, '16': {'x': 0.02420877535678277, 'y': -0.002818125226480413, 'z': 0.1391027851723132, 'roll': -174.03229914165453, 'pitch': -61.638103325763566, 'yaw': -97.16048418731758, 'norm': 0.1412217811697686, 'rvec': array([ 1.51849118, -1.61697956,  0.96170675])}},AR-move:none,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
6592,state:6,Time:0,Lat:     0,Lng:     0,ax:0.006666666666666667,ay:-0.0022222222222222222,az:   0.0,q:359.9375,Camera:3,rV:     0,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.010324616171902758, 'y': 0.006886156149191435, 'z': 0.1328836743319315, 'roll': -150.36073074875014, 'pitch': -4.817698266212387, 'yaw': -3.056685152783943, 'norm': 0.13346193370981477, 'rvec': array([-2.62370804,  0.0407889 , -0.12885487])}, '16': {'x': 0.024166873675516867, 'y': -0.0028111568275644276, 'z': 0.13874764067309253, 'roll': -174.67699350224785, 'pitch': -61.74484125278146, 'yaw': -96.58535067126162, 'norm': 0.14086464488404163, 'rvec': array([ 1.51919365, -1.61217437,  0.95760645])}},AR-move:none,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
7062,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:-0.0022222222222222222,az:-0.0033333333333333335,q:359.9375,Camera:4,rV:     0,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.010324616171902758, 'y': 0.006886156149191435, 'z': 0.1328836743319315, 'roll': -150.36073074875014, 'pitch': -4.817698266212387, 'yaw': -3.056685152783943, 'norm': 0.13346193370981477, 'rvec': array([-2.62370804,  0.0407889 , -0.12885487])}, '16': {'x': 0.02426529627062761, 'y': -0.002819918861774257, 'z': 0.13919271198965646, 'roll': -174.0538823186703, 'pitch': -61.61063329574756, 'yaw': -97.14132641585492, 'norm': 0.14132008921778877, 'rvec': array([ 1.51885824, -1.61724804,  0.96126656])}},AR-move:none,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
7517,state:6,Time:0,Lat:     0,Lng:     0,ax:0.016666666666666666,ay:0.0044444444444444444,az:0.006666666666666667,q:359.9375,Camera:5,rV:    80,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.010324616171902758, 'y': 0.006886156149191435, 'z': 0.1328836743319315, 'roll': -150.36073074875014, 'pitch': -4.817698266212387, 'yaw': -3.056685152783943, 'norm': 0.13346193370981477, 'rvec': array([-2.62370804,  0.0407889 , -0.12885487])}, '16': {'x': 0.02426529627062761, 'y': -0.002819918861774257, 'z': 0.13919271198965646, 'roll': -174.0538823186703, 'pitch': -61.61063329574756, 'yaw': -97.14132641585492, 'norm': 0.14132008921778877, 'rvec': array([ 1.51885824, -1.61724804,  0.96126656])}},AR-move:straight-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
7976,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.008888888888888889,ay:0.0033333333333333335,az:-0.0033333333333333335,q:359.9375,Camera:6,rV:    80,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.010324616171902758, 'y': 0.006886156149191435, 'z': 0.1328836743319315, 'roll': -150.36073074875014, 'pitch': -4.817698266212387, 'yaw': -3.056685152783943, 'norm': 0.13346193370981477, 'rvec': array([-2.62370804,  0.0407889 , -0.12885487])}, '16': {'x': 0.02420877535678277, 'y': -0.002818125226480413, 'z': 0.1391027851723132, 'roll': -174.03229914165453, 'pitch': -61.638103325763566, 'yaw': -97.16048418731758, 'norm': 0.1412217811697686, 'rvec': array([ 1.51849118, -1.61697956,  0.96170675])}},AR-move:straight-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
8433,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0033333333333333335,ay:-0.0011111111111111111,az:0.0033333333333333335,q:359.9375,Camera:7,rV:    80,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.010324616171902758, 'y': 0.006886156149191435, 'z': 0.1328836743319315, 'roll': -150.36073074875014, 'pitch': -4.817698266212387, 'yaw': -3.056685152783943, 'norm': 0.13346193370981477, 'rvec': array([-2.62370804,  0.0407889 , -0.12885487])}, '16': {'x': 0.024166873675516867, 'y': -0.0028111568275644276, 'z': 0.13874764067309253, 'roll': -174.67699350224785, 'pitch': -61.74484125278146, 'yaw': -96.58535067126162, 'norm': 0.14086464488404163, 'rvec': array([ 1.51919365, -1.61217437,  0.95760645])}},AR-move:straight-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
8873,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0044444444444444444,ay:-0.0044444444444444444,az:   0.0,q:359.9375,Camera:8,rV:    80,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.010423966381861105, 'y': 0.006941582499293625, 'z': 0.13362166377034912, 'roll': -151.27239998184794, 'pitch': -5.580562027986872, 'yaw': -3.276653611516568, 'norm': 0.13420727875745375, 'rvec': array([-2.63931687,  0.04253321, -0.14791419])}, '16': {'x': 0.0243019371929775, 'y': -0.002810638267436621, 'z': 0.13975104378942427, 'roll': -174.18694558324765, 'pitch': -61.26081091160292, 'yaw': -96.77123286973503, 'norm': 0.14187613639733562, 'rvec': array([ 1.52728466, -1.61865695,  0.95916156])}},AR-move:straight-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
9312,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:0.0022222222222222222,az:   0.0,q:359.9375,Camera:9,rV:    80,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.010324616171902758, 'y': 0.006886156149191435, 'z': 0.1328836743319315, 'roll': -150.36073074875014, 'pitch': -4.817698266212387, 'yaw': -3.056685152783943, 'norm': 0.13346193370981477, 'rvec': array([-2.62370804,  0.0407889 , -0.12885487])}, '16': {'x': 0.024259573431696553, 'y': -0.002803660133851239, 'z': 0.13939243864326312, 'roll': -174.83018856454558, 'pitch': -61.36723565046349, 'yaw': -96.20002090112219, 'norm': 0.14151550927071527, 'rvec': array([ 1.52795448, -1.61382066,  0.95500976])}},AR-move:straight-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
9774,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0077777777777777776,ay:0.0077777777777777776,az:   0.0,q:359.9375,Camera:10,rV:    80,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.010374698104881522, 'y': 0.006904572923399215, 'z': 0.13325714165464428, 'roll': -150.61050369638684, 'pitch': -5.332241393308495, 'yaw': -3.03783407524062, 'norm': 0.1338386091155609, 'rvec': array([-2.62783958,  0.03757767, -0.14059652])}, '16': {'x': 0.024398517196098216, 'y': -0.0028325112001789735, 'z': 0.13983788215428186, 'roll': -174.50663948700821, 'pitch': -61.50553475779208, 'yaw': -96.74196811456372, 'norm': 0.14197867461862806, 'rvec': array([ 1.52129212, -1.61638349,  0.95657001])}},AR-move:straight-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
10208,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0022222222222222222,ay:0.005555555555555556,az:   0.0,q:359.9375,Camera:11,rV:    80,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.010453889718900669, 'y': 0.006873959660347694, 'z': 0.13347570240573076, 'roll': -151.61854407361372, 'pitch': -6.081888833624115, 'yaw': -3.4790396330267606, 'norm': 0.13406080062557518, 'rvec': array([-2.64514775,  0.04478072, -0.16076962])}, '16': {'x': 0.024398517196098216, 'y': -0.0028325112001789735, 'z': 0.13983788215428186, 'roll': -174.50663948700821, 'pitch': -61.50553475779208, 'yaw': -96.74196811456372, 'norm': 0.14197867461862806, 'rvec': array([ 1.52129212, -1.61638349,  0.95657001])}},AR-move:straight-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
