5253,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:-0.0011111111111111111,az:   0.0,q:   0.0,Camera:0,rV:     0,lV:     0,ConnectingState:0,AR-Approach:False,AR-info:{},AR-move:none,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
5684,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:-0.0011111111111111111,az:   0.0,q:   0.0,Camera:1,rV:     0,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.014339162834333292, 'y': -0.005723516883492861, 'z': 0.2239721853072702, 'roll': -154.29939434836, 'pitch': -17.37143223874159, 'yaw': -6.905478951315404, 'norm': 0.22450369713574725, 'rvec': array([-2.67963725,  0.0681499 , -0.44530317])}},AR-move:none,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
6123,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:0.0011111111111111111,az:   0.0,q:   0.0,Camera:2,rV:     0,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.014339162834333292, 'y': -0.005723516883492861, 'z': 0.2239721853072702, 'roll': -154.29939434836, 'pitch': -17.37143223874159, 'yaw': -6.905478951315404, 'norm': 0.22450369713574725, 'rvec': array([-2.67963725,  0.0681499 , -0.44530317])}},AR-move:none,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
6552,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:   0.0,az:0.0011111111111111111,q:   0.0,Camera:3,rV:     0,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.014339162834333292, 'y': -0.005723516883492861, 'z': 0.2239721853072702, 'roll': -154.29939434836, 'pitch': -17.37143223874159, 'yaw': -6.905478951315404, 'norm': 0.22450369713574725, 'rvec': array([-2.67963725,  0.0681499 , -0.44530317])}},AR-move:none,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
6992,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:-0.0011111111111111111,az:   0.0,q:   0.0,Camera:4,rV:     0,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.014377178460681381, 'y': -0.005759564330696514, 'z': 0.22402156694851036, 'roll': -155.30112684492178, 'pitch': -18.543416745419076, 'yaw': -6.574531053162004, 'norm': 0.22455631431744605, 'rvec': array([-2.69361951,  0.05831824, -0.47263387])}},AR-move:none,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
7442,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0011111111111111111,ay:-0.0033333333333333335,az:0.0022222222222222222,q:   0.0,Camera:5,rV:    80,lV:    85,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.014339162834333292, 'y': -0.005723516883492861, 'z': 0.2239721853072702, 'roll': -154.29939434836, 'pitch': -17.37143223874159, 'yaw': -6.905478951315404, 'norm': 0.22450369713574725, 'rvec': array([-2.67963725,  0.0681499 , -0.44530317])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
7864,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:0.0033333333333333335,az:0.0022222222222222222,q:   0.0,Camera:6,rV:    80,lV:    85,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.014339162834333292, 'y': -0.005723516883492861, 'z': 0.2239721853072702, 'roll': -154.29939434836, 'pitch': -17.37143223874159, 'yaw': -6.905478951315404, 'norm': 0.22450369713574725, 'rvec': array([-2.67963725,  0.0681499 , -0.44530317])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
8288,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0022222222222222222,ay:0.0011111111111111111,az:-0.0033333333333333335,q:   0.0,Camera:7,rV:    80,lV:    85,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.014339162834333292, 'y': -0.005723516883492861, 'z': 0.2239721853072702, 'roll': -154.29939434836, 'pitch': -17.37143223874159, 'yaw': -6.905478951315404, 'norm': 0.22450369713574725, 'rvec': array([-2.67963725,  0.0681499 , -0.44530317])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
8714,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0011111111111111111,ay:0.0011111111111111111,az:   0.0,q:   0.0,Camera:8,rV:    80,lV:    85,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.014370314701254215, 'y': -0.005754734948754833, 'z': 0.22398000092292972, 'roll': -153.70009773513266, 'pitch': -17.071973408895193, 'yaw': -4.064009219747049, 'norm': 0.2245142840274959, 'rvec': array([-2.66540850e+00,  1.10291728e-03, -4.21628848e-01])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
9157,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:0.0011111111111111111,az:0.0011111111111111111,q:   0.0,Camera:9,rV:    80,lV:    85,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.014339162834333292, 'y': -0.005723516883492861, 'z': 0.2239721853072702, 'roll': -154.29939434836, 'pitch': -17.37143223874159, 'yaw': -6.905478951315404, 'norm': 0.22450369713574725, 'rvec': array([-2.67963725,  0.0681499 , -0.44530317])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
9601,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:   0.0,az:-0.0011111111111111111,q:   0.0,Camera:10,rV:    80,lV:    85,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.014339162834333292, 'y': -0.005723516883492861, 'z': 0.2239721853072702, 'roll': -154.29939434836, 'pitch': -17.37143223874159, 'yaw': -6.905478951315404, 'norm': 0.22450369713574725, 'rvec': array([-2.67963725,  0.0681499 , -0.44530317])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
10033,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0022222222222222222,ay:-0.0011111111111111111,az:   0.0,q:   0.0,Camera:11,rV:    80,lV:    85,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.014339162834333292, 'y': -0.005723516883492861, 'z': 0.2239721853072702, 'roll': -154.29939434836, 'pitch': -17.37143223874159, 'yaw': -6.905478951315404, 'norm': 0.22450369713574725, 'rvec': array([-2.67963725,  0.0681499 , -0.44530317])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
10456,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0011111111111111111,ay:0.0044444444444444444,az:   0.0,q:   0.0,Camera:12,rV:    80,lV:    85,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.014339162834333292, 'y': -0.005723516883492861, 'z': 0.2239721853072702, 'roll': -154.29939434836, 'pitch': -17.37143223874159, 'yaw': -6.905478951315404, 'norm': 0.22450369713574725, 'rvec': array([-2.67963725,  0.0681499 , -0.44530317])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
10881,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:-0.0011111111111111111,az:0.0011111111111111111,q:   0.0,Camera:13,rV:    80,lV:    85,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.014339162834333292, 'y': -0.005723516883492861, 'z': 0.2239721853072702, 'roll': -154.29939434836, 'pitch': -17.37143223874159, 'yaw': -6.905478951315404, 'norm': 0.22450369713574725, 'rvec': array([-2.67963725,  0.0681499 , -0.44530317])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
11324,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0022222222222222222,ay:-0.0011111111111111111,az:-0.0011111111111111111,q:   0.0,Camera:14,rV:    80,lV:    85,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.014370314701254215, 'y': -0.005754734948754833, 'z': 0.22398000092292972, 'roll': -153.70009773513266, 'pitch': -17.071973408895193, 'yaw': -4.064009219747049, 'norm': 0.2245142840274959, 'rvec': array([-2.66540850e+00,  1.10291728e-03, -4.21628848e-01])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
11787,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:0.0022222222222222222,az:0.0022222222222222222,q:   0.0,Camera:15,rV:    80,lV:    85,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.014339162834333292, 'y': -0.005723516883492861, 'z': 0.2239721853072702, 'roll': -154.29939434836, 'pitch': -17.37143223874159, 'yaw': -6.905478951315404, 'norm': 0.22450369713574725, 'rvec': array([-2.67963725,  0.0681499 , -0.44530317])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
12208,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:0.0011111111111111111,az:   0.0,q:   0.0,Camera:16,rV:    80,lV:    85,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.014339162834333292, 'y': -0.005723516883492861, 'z': 0.2239721853072702, 'roll': -154.29939434836, 'pitch': -17.37143223874159, 'yaw': -6.905478951315404, 'norm': 0.22450369713574725, 'rvec': array([-2.67963725,  0.0681499 , -0.44530317])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
12627,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0011111111111111111,ay:0.0022222222222222222,az:   0.0,q:   0.0,Camera:17,rV:    80,lV:    85,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.014370314701254215, 'y': -0.005754734948754833, 'z': 0.22398000092292972, 'roll': -153.70009773513266, 'pitch': -17.071973408895193, 'yaw': -4.064009219747049, 'norm': 0.2245142840274959, 'rvec': array([-2.66540850e+00,  1.10291728e-03, -4.21628848e-01])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
13055,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0022222222222222222,ay:   0.0,az:0.0011111111111111111,q:   0.0,Camera:18,rV:    80,lV:    85,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.014339162834333292, 'y': -0.005723516883492861, 'z': 0.2239721853072702, 'roll': -154.29939434836, 'pitch': -17.37143223874159, 'yaw': -6.905478951315404, 'norm': 0.22450369713574725, 'rvec': array([-2.67963725,  0.0681499 , -0.44530317])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
13494,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0011111111111111111,ay:0.0022222222222222222,az:-0.0011111111111111111,q:   0.0,Camera:19,rV:    80,lV:    85,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.014370314701254215, 'y': -0.005754734948754833, 'z': 0.22398000092292972, 'roll': -153.70009773513266, 'pitch': -17.071973408895193, 'yaw': -4.064009219747049, 'norm': 0.2245142840274959, 'rvec': array([-2.66540850e+00,  1.10291728e-03, -4.21628848e-01])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
13948,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0033333333333333335,ay:-0.0022222222222222222,az:-0.0022222222222222222,q:   0.0,Camera:20,rV:    80,lV:    85,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.014284590190227845, 'y': -0.005752811433791043, 'z': 0.22261975489783142, 'roll': -153.69068419769604, 'pitch': -17.8682212262786, 'yaw': -4.4794441294934755, 'norm': 0.22315174125931897, 'rvec': array([-2.66404145,  0.00630308, -0.44251794])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
14372,state:6,Time:0,Lat:     0,Lng:     0,ax:0.005555555555555556,ay:0.0011111111111111111,az:0.0011111111111111111,q:   0.0,Camera:21,rV:    80,lV:    85,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.014339162834333292, 'y': -0.005723516883492861, 'z': 0.2239721853072702, 'roll': -154.29939434836, 'pitch': -17.37143223874159, 'yaw': -6.905478951315404, 'norm': 0.22450369713574725, 'rvec': array([-2.67963725,  0.0681499 , -0.44530317])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
14798,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:   0.0,az:-0.0011111111111111111,q:   0.0,Camera:22,rV:    80,lV:    85,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.027345174647475063, 'y': 0.00888690308929266, 'z': 0.17758735885625998, 'roll': -151.43164850252728, 'pitch': -12.446025119095138, 'yaw': -2.340332813391299, 'norm': 0.17989998790595138, 'rvec': array([-2.63333143, -0.01930738, -0.30066578])}, '16': {'x': 0.04402877069571341, 'y': -0.0005378602338980447, 'z': 0.1997019973620062, 'roll': 120.52510641764542, 'pitch': 47.130581493440495, 'yaw': -142.7784540744975, 'norm': 0.20449867895167845, 'rvec': array([ 1.57878252, -2.46849161, -1.93507128])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
15238,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:-0.0011111111111111111,az:-0.0011111111111111111,q:   0.0,Camera:23,rV:    80,lV:    85,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.02726596091998549, 'y': 0.00888114184342926, 'z': 0.17640604655837525, 'roll': -150.77583305165388, 'pitch': -11.704958671403054, 'yaw': -2.96238123951159, 'norm': 0.1787215727540717, 'rvec': array([-2.62410183e+00, -2.26928441e-03, -2.86466669e-01])}, '16': {'x': 0.043667151271625314, 'y': -0.0004741762381192351, 'z': 0.19819389454520867, 'roll': 121.59088009249423, 'pitch': 48.2524233147783, 'yaw': -142.0865203219494, 'norm': 0.20294793612717793, 'rvec': array([ 1.60936862, -2.47707133, -1.9318326 ])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
15682,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:0.0011111111111111111,az:   0.0,q:   0.0,Camera:24,rV:    80,lV:    85,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.02726596091998549, 'y': 0.00888114184342926, 'z': 0.17640604655837525, 'roll': -150.77583305165388, 'pitch': -11.704958671403054, 'yaw': -2.96238123951159, 'norm': 0.1787215727540717, 'rvec': array([-2.62410183e+00, -2.26928441e-03, -2.86466669e-01])}, '16': {'x': 0.04336989991539976, 'y': -0.0005858446388435525, 'z': 0.19665997112146316, 'roll': -157.68979856631475, 'pitch': -64.1981171028761, 'yaw': -112.00926864455813, 'norm': 0.2013862847219427, 'rvec': array([ 1.43097091, -1.64343938,  1.11205967])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
16142,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0033333333333333335,ay:0.005555555555555556,az:-0.0011111111111111111,q:   0.0,Camera:25,rV:    80,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.027263940246068617, 'y': 0.008888337664021619, 'z': 0.17655380593689615, 'roll': -150.8010864214845, 'pitch': -12.367594974494345, 'yaw': -2.9449788922542517, 'norm': 0.17886746874424664, 'rvec': array([-2.62342186, -0.00659617, -0.30159057])}, '16': {'x': 0.04336989991539976, 'y': -0.0005858446388435525, 'z': 0.19665997112146316, 'roll': -157.68979856631475, 'pitch': -64.1981171028761, 'yaw': -112.00926864455813, 'norm': 0.2013862847219427, 'rvec': array([ 1.43097091, -1.64343938,  1.11205967])}},AR-move:straight-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
16564,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0022222222222222222,ay:   0.0,az:0.0011111111111111111,q:   0.0,Camera:26,rV:    80,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.027277380599240477, 'y': 0.008925998434875456, 'z': 0.1768027380006568, 'roll': -151.49614287594852, 'pitch': -12.950659928994519, 'yaw': -2.6198187234996615, 'norm': 0.17911710444551104, 'rvec': array([-2.63392905, -0.01569589, -0.31404064])}, '16': {'x': 0.043667151271625314, 'y': -0.0004741762381192351, 'z': 0.19819389454520867, 'roll': 121.59088009249423, 'pitch': 48.2524233147783, 'yaw': -142.0865203219494, 'norm': 0.20294793612717793, 'rvec': array([ 1.60936862, -2.47707133, -1.9318326 ])}},AR-move:straight-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
17013,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:   0.0,az:-0.0011111111111111111,q:   0.0,Camera:27,rV:    80,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.027277380599240477, 'y': 0.008925998434875456, 'z': 0.1768027380006568, 'roll': -151.49614287594852, 'pitch': -12.950659928994519, 'yaw': -2.6198187234996615, 'norm': 0.17911710444551104, 'rvec': array([-2.63392905, -0.01569589, -0.31404064])}, '16': {'x': 0.04336989991539976, 'y': -0.0005858446388435525, 'z': 0.19665997112146316, 'roll': -157.68979856631475, 'pitch': -64.1981171028761, 'yaw': -112.00926864455813, 'norm': 0.2013862847219427, 'rvec': array([ 1.43097091, -1.64343938,  1.11205967])}},AR-move:straight-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
17458,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:0.0011111111111111111,az:   0.0,q:   0.0,Camera:28,rV:    80,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.02726596091998549, 'y': 0.00888114184342926, 'z': 0.17640604655837525, 'roll': -150.77583305165388, 'pitch': -11.704958671403054, 'yaw': -2.96238123951159, 'norm': 0.1787215727540717, 'rvec': array([-2.62410183e+00, -2.26928441e-03, -2.86466669e-01])}, '16': {'x': 0.04336989991539976, 'y': -0.0005858446388435525, 'z': 0.19665997112146316, 'roll': -157.68979856631475, 'pitch': -64.1981171028761, 'yaw': -112.00926864455813, 'norm': 0.2013862847219427, 'rvec': array([ 1.43097091, -1.64343938,  1.11205967])}},AR-move:straight-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
17888,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0011111111111111111,ay:-0.0022222222222222222,az:   0.0,q:   0.0,Camera:29,rV:    80,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.027263940246068617, 'y': 0.008888337664021619, 'z': 0.17655380593689615, 'roll': -150.8010864214845, 'pitch': -12.367594974494345, 'yaw': -2.9449788922542517, 'norm': 0.17886746874424664, 'rvec': array([-2.62342186, -0.00659617, -0.30159057])}, '16': {'x': 0.04336989991539976, 'y': -0.0005858446388435525, 'z': 0.19665997112146316, 'roll': -157.68979856631475, 'pitch': -64.1981171028761, 'yaw': -112.00926864455813, 'norm': 0.2013862847219427, 'rvec': array([ 1.43097091, -1.64343938,  1.11205967])}},AR-move:straight-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
18377,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:   0.0,az:0.0022222222222222222,q:   0.0,Camera:30,rV:    80,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.027277380599240477, 'y': 0.008925998434875456, 'z': 0.1768027380006568, 'roll': -151.49614287594852, 'pitch': -12.950659928994519, 'yaw': -2.6198187234996615, 'norm': 0.17911710444551104, 'rvec': array([-2.63392905, -0.01569589, -0.31404064])}, '16': {'x': 0.04338232160161866, 'y': -0.0004705488911544088, 'z': 0.19677330788528247, 'roll': 121.22144143882784, 'pitch': 48.187687336581476, 'yaw': -142.45658252778463, 'norm': 0.20149933483741678, 'rvec': array([ 1.60277377, -2.47668233, -1.93719327])}},AR-move:straight-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
18821,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:0.0011111111111111111,az:-0.0011111111111111111,q:   0.0,Camera:31,rV:    80,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.027277380599240477, 'y': 0.008925998434875456, 'z': 0.1768027380006568, 'roll': -151.49614287594852, 'pitch': -12.950659928994519, 'yaw': -2.6198187234996615, 'norm': 0.17911710444551104, 'rvec': array([-2.63392905, -0.01569589, -0.31404064])}, '16': {'x': 0.04336989991539976, 'y': -0.0005858446388435525, 'z': 0.19665997112146316, 'roll': -157.68979856631475, 'pitch': -64.1981171028761, 'yaw': -112.00926864455813, 'norm': 0.2013862847219427, 'rvec': array([ 1.43097091, -1.64343938,  1.11205967])}},AR-move:straight-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
19288,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0022222222222222222,ay:-0.0033333333333333335,az:-0.0022222222222222222,q:   0.0,Camera:32,rV:    80,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.027277380599240477, 'y': 0.008925998434875456, 'z': 0.1768027380006568, 'roll': -151.49614287594852, 'pitch': -12.950659928994519, 'yaw': -2.6198187234996615, 'norm': 0.17911710444551104, 'rvec': array([-2.63392905, -0.01569589, -0.31404064])}, '16': {'x': 0.04336989991539976, 'y': -0.0005858446388435525, 'z': 0.19665997112146316, 'roll': -157.68979856631475, 'pitch': -64.1981171028761, 'yaw': -112.00926864455813, 'norm': 0.2013862847219427, 'rvec': array([ 1.43097091, -1.64343938,  1.11205967])}},AR-move:straight-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
19721,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:-0.0022222222222222222,az:-0.0011111111111111111,q:   0.0,Camera:33,rV:    80,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.02726596091998549, 'y': 0.00888114184342926, 'z': 0.17640604655837525, 'roll': -150.77583305165388, 'pitch': -11.704958671403054, 'yaw': -2.96238123951159, 'norm': 0.1787215727540717, 'rvec': array([-2.62410183e+00, -2.26928441e-03, -2.86466669e-01])}, '16': {'x': 0.04336989991539976, 'y': -0.0005858446388435525, 'z': 0.19665997112146316, 'roll': -157.68979856631475, 'pitch': -64.1981171028761, 'yaw': -112.00926864455813, 'norm': 0.2013862847219427, 'rvec': array([ 1.43097091, -1.64343938,  1.11205967])}},AR-move:straight-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
20177,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0044444444444444444,ay:-0.0022222222222222222,az:-0.0011111111111111111,q:   0.0,Camera:34,rV:    80,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.027277380599240477, 'y': 0.008925998434875456, 'z': 0.1768027380006568, 'roll': -151.49614287594852, 'pitch': -12.950659928994519, 'yaw': -2.6198187234996615, 'norm': 0.17911710444551104, 'rvec': array([-2.63392905, -0.01569589, -0.31404064])}, '16': {'x': 0.043667151271625314, 'y': -0.0004741762381192351, 'z': 0.19819389454520867, 'roll': 121.59088009249423, 'pitch': 48.2524233147783, 'yaw': -142.0865203219494, 'norm': 0.20294793612717793, 'rvec': array([ 1.60936862, -2.47707133, -1.9318326 ])}},AR-move:straight-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
20636,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:-0.0022222222222222222,az:-0.0022222222222222222,q:   0.0,Camera:35,rV:    80,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.028409594440513473, 'y': 0.009410044543317144, 'z': 0.17709330781749238, 'roll': -150.78082348428092, 'pitch': -11.079007910248812, 'yaw': -2.0750127308285795, 'norm': 0.17960426962720785, 'rvec': array([-2.62404362, -0.01880615, -0.26675746])}, '16': {'x': 0.045421716442191125, 'y': 8.002641965845357e-05, 'z': 0.19994224525787033, 'roll': 120.37681862755805, 'pitch': 46.487295510999736, 'yaw': -142.3886881173385, 'norm': 0.20503668005393824, 'rvec': array([ 1.57310231, -2.45685566, -1.92869166])}},AR-move:straight-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
21062,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0022222222222222222,ay:0.0022222222222222222,az:-0.0011111111111111111,q:   0.0,Camera:36,rV:    80,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.03321828555918839, 'y': 0.01475002140481329, 'z': 0.15941346133109874, 'roll': -150.76271354472163, 'pitch': -7.185497368686333, 'yaw': -0.2042363819086655, 'norm': 0.16350434024971922, 'rvec': array([-2.62702623, -0.03833892, -0.16616108])}, '16': {'x': 0.05036149153671262, 'y': 0.006532365863110985, 'z': 0.17572404420757684, 'roll': -168.4174807314082, 'pitch': -64.45611711116338, 'yaw': -98.94406825286856, 'norm': 0.1829149839303449, 'rvec': array([ 1.52417196, -1.56808589,  1.06223888])}},AR-move:straight-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
21507,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0011111111111111111,ay:0.0044444444444444444,az:0.0011111111111111111,q:   0.0,Camera:37,rV:    80,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.0331367234629957, 'y': 0.014725252959887938, 'z': 0.15913932773564907, 'roll': -150.60156626398256, 'pitch': -6.613266854970289, 'yaw': -0.2609892052495569, 'norm': 0.16321826230158826, 'rvec': array([-2.62494533, -0.03380495, -0.15322136])}, '16': {'x': 0.04977934931351013, 'y': 0.0064594826121434626, 'z': 0.17378516419735623, 'roll': -169.75776102202562, 'pitch': -64.86146669463709, 'yaw': -97.80064270513222, 'norm': 0.1808894464273555, 'rvec': array([ 1.5227316 , -1.55720791,  1.05506809])}},AR-move:straight-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
