5193,state:0,Time:11:39:28,Lat:39.59425667,Lng:-119.20688667,ax:-0.0033333333333333335,ay:-0.0022222222222222222,az:-0.0011111111111111111,q:   0.0,Camera:0
5473,state:0,Time:11:39:29,Lat:39.59425500,Lng:-119.20688500,ax:0.0011111111111111111,ay:-0.0011111111111111111,az:   0.0,q: 360.0,Camera:0
5507,state:0,Time:11:39:29,Lat:39.59425500,Lng:-119.20688500,ax:0.0022222222222222222,ay:-0.0011111111111111111,az:-0.0011111111111111111,q:   0.0,Camera:0
5542,state:0,Time:11:39:29,Lat:39.59425500,Lng:-119.20688500,ax:-0.0022222222222222222,ay:-0.0011111111111111111,az:   0.0,q:   0.0,Camera:0
5576,state:0,Time:11:39:29,Lat:39.59425500,Lng:-119.20688500,ax:0.0011111111111111111,ay:-0.0011111111111111111,az:0.0011111111111111111,q:   0.0,Camera:0
5613,state:0,Time:11:39:29,Lat:39.59425500,Lng:-119.20688500,ax:0.0022222222222222222,ay:-0.0011111111111111111,az:0.0011111111111111111,q:   0.0,Camera:0
5647,state:0,Time:11:39:29,Lat:39.59425500,Lng:-119.20688500,ax:   0.0,ay:-0.0044444444444444444,az:0.0011111111111111111,q:   0.0,Camera:0
5684,state:0,Time:11:39:29,Lat:39.59425500,Lng:-119.20688500,ax:   0.0,ay:0.0022222222222222222,az:-0.0011111111111111111,q:   0.0,Camera:0
5718,state:0,Time:11:39:29,Lat:39.59425500,Lng:-119.20688500,ax:0.0022222222222222222,ay:0.0011111111111111111,az:   0.0,q:   0.0,Camera:0
5754,state:0,Time:11:39:29,Lat:39.59425500,Lng:-119.20688500,ax:0.0033333333333333335,ay:-0.0022222222222222222,az:   0.0,q:   0.0,Camera:0
5788,state:0,Time:11:39:29,Lat:39.59425500,Lng:-119.20688500,ax:0.0011111111111111111,ay:-0.0044444444444444444,az:-0.0033333333333333335,q:   0.0,Camera:0
5824,state:0,Time:11:39:29,Lat:39.59425500,Lng:-119.20688500,ax:   0.0,ay:-0.0011111111111111111,az:-0.0022222222222222222,q:   0.0,Camera:0
5859,state:0,Time:11:39:29,Lat:39.59425500,Lng:-119.20688500,ax:-0.0011111111111111111,ay:-0.0022222222222222222,az:   0.0,q:   0.0,Camera:0
5894,state:0,Time:11:39:29,Lat:39.59425500,Lng:-119.20688500,ax:0.0011111111111111111,ay:-0.0022222222222222222,az:-0.0011111111111111111,q:   0.0,Camera:0
5928,state:0,Time:11:39:29,Lat:39.59425500,Lng:-119.20688500,ax:-0.0022222222222222222,ay:0.005555555555555556,az:-0.0022222222222222222,q:   0.0,Camera:0
5964,state:0,Time:11:39:29,Lat:39.59425500,Lng:-119.20688500,ax:0.0011111111111111111,ay:0.0011111111111111111,az:-0.0022222222222222222,q:   0.0,Camera:0
5997,state:0,Time:11:39:29,Lat:39.59425500,Lng:-119.20688500,ax:-0.0011111111111111111,ay:   0.0,az:0.0011111111111111111,q:   0.0,Camera:0
6034,state:0,Time:11:39:29,Lat:39.59425500,Lng:-119.20688500,ax:   0.0,ay:   0.0,az:0.0011111111111111111,q:   0.0,Camera:0
6068,state:0,Time:11:39:29,Lat:39.59425500,Lng:-119.20688500,ax:-0.0011111111111111111,ay:-0.0022222222222222222,az:   0.0,q:   0.0,Camera:0
6104,state:0,Time:11:39:29,Lat:39.59425500,Lng:-119.20688500,ax:   0.0,ay:   0.0,az:-0.0011111111111111111,q:   0.0,Camera:0
6137,state:0,Time:11:39:29,Lat:39.59425500,Lng:-119.20688500,ax:0.0022222222222222222,ay:   0.0,az:-0.0022222222222222222,q:   0.0,Camera:0
