5298,state:0,Time:08:35:30,Lat:40.89361500,Lng:-119.10942667,ax:0.2311111111111111,ay:-0.15666666666666668,az:-0.22666666666666666,q:   0.0,Camera:0
5561,state:0,Time:08:35:31,Lat:40.89361500,Lng:-119.10942833,ax:-0.052222222222222225,ay:  0.06,az:-0.09888888888888889,q:1.6875,Camera:0
5597,state:0,Time:08:35:31,Lat:40.89361500,Lng:-119.10942833,ax:0.06444444444444444,ay:-0.06444444444444444,az:-0.07333333333333333,q: 1.875,Camera:0
5631,state:0,Time:08:35:31,Lat:40.89361500,Lng:-119.10942833,ax:0.04777777777777778,ay:-0.08888888888888889,az:-0.07555555555555556,q:   2.0,Camera:0
5668,state:0,Time:08:35:31,Lat:40.89361500,Lng:-119.10942833,ax:   0.0,ay:-0.11444444444444445,az:-0.052222222222222225,q: 2.125,Camera:0
5703,state:0,Time:08:35:31,Lat:40.89361500,Lng:-119.10942833,ax:-0.057777777777777775,ay:-0.12777777777777777,az:-0.06222222222222222,q:  2.25,Camera:0
5739,state:0,Time:08:35:31,Lat:40.89361500,Lng:-119.10942833,ax:-0.03777777777777778,ay:-0.10111111111111111,az: -0.05,q: 2.375,Camera:0
5776,state:0,Time:08:35:31,Lat:40.89361500,Lng:-119.10942833,ax:-0.051111111111111114,ay:0.0044444444444444444,az:-0.057777777777777775,q:   2.5,Camera:0
5809,state:0,Time:08:35:31,Lat:40.89361500,Lng:-119.10942833,ax:-0.04888888888888889,ay:0.006666666666666667,az:-0.11777777777777777,q: 2.625,Camera:0
5843,state:0,Time:08:35:31,Lat:40.89361500,Lng:-119.10942833,ax:-0.07888888888888888,ay:0.023333333333333334,az:-0.1811111111111111,q:   3.0,Camera:0
5878,state:0,Time:08:35:31,Lat:40.89361500,Lng:-119.10942833,ax:-0.1111111111111111,ay:0.10111111111111111,az:-0.2311111111111111,q: 3.375,Camera:0
5914,state:0,Time:08:35:31,Lat:40.89361500,Lng:-119.10942833,ax:-0.07444444444444444,ay:  0.16,az:-0.2822222222222222,q:3.9375,Camera:0
5948,state:0,Time:08:35:31,Lat:40.89361500,Lng:-119.10942833,ax:-0.0011111111111111111,ay:0.15222222222222223,az:-0.30666666666666664,q:   4.5,Camera:0
5983,state:0,Time:08:35:31,Lat:40.89361500,Lng:-119.10942833,ax:0.04888888888888889,ay:0.15666666666666668,az:-0.2777777777777778,q:5.0625,Camera:0
6018,state:0,Time:08:35:31,Lat:40.89361500,Lng:-119.10942833,ax:0.0022222222222222222,ay:0.1922222222222222,az:-0.20555555555555555,q:5.4375,Camera:0
6052,state:0,Time:08:35:31,Lat:40.89361500,Lng:-119.10942833,ax:-0.0011111111111111111,ay:0.1688888888888889,az:-0.18222222222222223,q: 5.875,Camera:0
6088,state:0,Time:08:35:31,Lat:40.89361500,Lng:-119.10942833,ax:-0.058888888888888886,ay:0.10777777777777778,az:-0.17666666666666667,q:6.1875,Camera:0
6122,state:0,Time:08:35:31,Lat:40.89361500,Lng:-119.10942833,ax:-0.07666666666666666,ay:0.07444444444444444,az:-0.1922222222222222,q:   6.5,Camera:0
6156,state:0,Time:08:35:31,Lat:40.89361500,Lng:-119.10942833,ax:-0.11222222222222222,ay:0.05555555555555555,az:-0.21333333333333335,q:6.9375,Camera:0
6190,state:0,Time:08:35:31,Lat:40.89361500,Lng:-119.10942833,ax:  -0.1,ay:0.035555555555555556,az:-0.2388888888888889,q:7.4375,Camera:0
6226,state:0,Time:08:35:31,Lat:40.89361500,Lng:-119.10942833,ax: -0.05,ay:-0.03222222222222222,az:-0.2822222222222222,q: 7.875,Camera:0
6260,state:0,Time:08:35:31,Lat:40.89361500,Lng:-119.10942833,ax:-0.10222222222222223,ay:-0.05555555555555555,az:-0.29333333333333333,q: 8.375,Camera:0
6294,state:0,Time:08:35:31,Lat:40.89361500,Lng:-119.10942833,ax:-0.1322222222222222,ay:-0.011111111111111112,az: -0.28,q:   9.0,Camera:0
6328,state:0,Time:08:35:31,Lat:40.89361500,Lng:-119.10942833,ax:-0.12111111111111111,ay:0.008888888888888889,az:-0.2611111111111111,q:9.4375,Camera:0
6366,state:0,Time:08:35:31,Lat:40.89361500,Lng:-119.10942833,ax:-0.056666666666666664,ay:0.017777777777777778,az:-0.21333333333333335,q:9.9375,Camera:0
6400,state:0,Time:08:35:32,Lat:40.89361667,Lng:-119.10943000,ax:-0.005555555555555556,ay:0.043333333333333335,az:-0.14666666666666667,q:10.3125,Camera:0
6437,state:0,Time:08:35:32,Lat:40.89361667,Lng:-119.10943000,ax:-0.07222222222222222,ay:0.08888888888888889,az:-0.11555555555555555,q:  10.5,Camera:0
6473,state:0,Time:08:35:32,Lat:40.89361667,Lng:-119.10943000,ax:-0.11666666666666667,ay:0.09666666666666666,az:-0.10111111111111111,q: 10.75,Camera:0
6507,state:0,Time:08:35:32,Lat:40.89361667,Lng:-119.10943000,ax:-0.08777777777777777,ay:  0.09,az:-0.10222222222222223,q:10.9375,Camera:0
6541,state:0,Time:08:35:32,Lat:40.89361667,Lng:-119.10943000,ax:-0.11333333333333333,ay:  0.07,az:-0.10222222222222223,q:11.125,Camera:0
6576,state:0,Time:08:35:32,Lat:40.89361667,Lng:-119.10943000,ax:36.14555555555555,ay:0.051111111111111114,az:-0.10777777777777778,q:11.3125,Camera:0
6611,state:0,Time:08:35:32,Lat:40.89361667,Lng:-119.10943000,ax:-0.1511111111111111,ay:-0.0011111111111111111,az:-0.12666666666666668,q:11.5625,Camera:0
6645,state:0,Time:08:35:32,Lat:40.89361667,Lng:-119.10943000,ax:-0.06222222222222222,ay:-0.06888888888888889,az: -0.13,q: 11.75,Camera:0
6679,state:0,Time:08:35:32,Lat:40.89361667,Lng:-119.10943000,ax:-0.025555555555555557,ay:-0.09222222222222222,az:-0.09222222222222222,q:  12.0,Camera:0
6715,state:0,Time:08:35:32,Lat:40.89361667,Lng:-119.10943000,ax:0.011111111111111112,ay:-0.14666666666666667,az:-0.03222222222222222,q:  12.0,Camera:0
6749,state:0,Time:08:35:32,Lat:40.89361667,Lng:-119.10943000,ax:0.035555555555555556,ay:-0.12222222222222222,az:  0.05,q:11.9375,Camera:0
